STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING																												
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID																												
7000	Convoy46005		3	7	task_TrackInfo_46005	WorldNpc03335																													
7001	Convoy46024		3	7	task_TrackInfo_46024	WorldNpc03372																													
7002	Convoy46031		3	7	task_TrackInfo_46031	WorldNpc03335																													
7003	Convoy46044		3	7		WorldNpc03335																													
7004	Convoy46074	7-46074	3	7	task_TrackInfo_46074	WorldNpc03447																													
7005	Convoy46091		3	7		WorldNpc03449																													
7006	Convoy46096		3	7		WorldNpc03316																													
7007	Convoy46106	24-46106	3	24	task_TrackInfo_46106	WorldNpc05093																													
7008	Convoy46108		3	24		WorldNpc05050																													
7009	Convoy46112	24-46112	3	24	task_TrackInfo_46112	WorldNpc05051																													
7010	Convoy46118		3	24		WorldNpc05095																													
7011	Convoy46143		3	11		WorldNpc04577																													
7012	Convoy46146		3	11		WorldNpc04578																													
7013	Convoy46149	11-46149	3	11	task_TrackInfo_46149	WorldNpc04577																													
7014	Convoy46154	11-46154	3	11	task_TrackInfo_46154	WorldNpc04438																													
7015	Convoy46157		3	11		WorldNpc04405																													
7016	Convoy46164		3	11		WorldNpc04713																													
7017	Convoy46167		3	11		WorldNpc04713																													
7018	Convoy46171		3	11		WorldNpc04714																													
7019	Convoy46183		3	11		WorldNpc04577																													
7020	Convoy46196		3	19		WorldNpc02035																													
7021	Convoy46199	19-46199	3	19	task_TrackInfo_46199																														
7022	Convoy46207	19-46207	3	19	task_TrackInfo_46207	WorldNpc02040																													
7023	Convoy46209		3	19		WorldNpc02042																													
7024	Convoy46218	19-46218	3	19	task_TrackInfo_46218	WorldNpc02041																													
7025	Convoy46219		3	19		WorldNpc02035																													
7026	Convoy46224		3	19		WorldNpc02038																													
7027																																			
7028																																			
7029																																			
7030																																			
7031																																			
7032																																			
7033																																			
7034																																			
7035																																			
7036																																			
7037																																			
7038																																			
7039																																			
7040																																			
7041																																			
7042																																			
7043																																			
7044																																			
7045																																			
7046																																			
7047																																			
7048																																			
7049																																			
7050																																			
7051																																			
7052																																			
7053																																			
7054																																			
7055																																			
7056																																			
7057																																			
7058																																			
7059																																			
7060																																			
7061																																			
7062																																			
7063																																			
7064																																			
7065																																			
7066																																			
7067																																			
7068																																			
7069																																			
7070																																			
7071																																			
7072																																			
7073																																			
7074																																			
7075																																			
7076																																			
7077																																			
7078																																			
7079																																			
7080																																			
7081																																			
7082																																			
7083																																			
7084																																			
7085																																			
7086																																			
7087																																			
7088																																			
7089																																			
7090																																			
7091																																			
7092																																			
7093																																			
7094																																			
7095																																			
7096																																			
7097																																			
7098																																			
7099																																			
7100																																			
7101																																			
7102																																			
7103																																			
7104																																			
7105																																			
7106																																			
7107																																			
7108																																			
7109																																			
7110																																			
7111																																			
7112																																			
7113																																			
7114																																			
7115																																			
7116																																			
7117																																			
7118																																			
7119																																			
7120																																			
7121																																			
7122																																			
7123																																			
7124																																			
7125																																			
7126																																			
7127																																			
7128																																			
7129																																			
7130																																			
7131																																			
7132																																			
7133																																			
7134																																			
7135																																			
7136																																			
7137																																			
7138																																			
7139																																			
7140																																			
7141																																			
7142																																			
7143																																			
7144																																			
7145																																			
7146																																			
7147																																			
7148																																			
7149																																			
7150																																			
7151																																			
7152																																			
7153																																			
7154																																			
7155																																			
7156																																			
7157																																			
7158																																			
7159																																			
7160																																			
7161																																			
7162																																			
7163																																			
7164																																			
7165																																			
7166																																			
7167																																			
7168																																			
7169																																			
7170																																			
7171																																			
7172																																			
7173																																			
7174																																			
7175																																			
7176																																			
7177																																			
7178																																			
7179																																			
7180																																			
7181																																			
7182																																			
7183																																			
7184																																			
7185																																			
7186																																			
7187																																			
7188																																			
7189																																			
7190																																			
7191																																			
7192																																			
7193																																			
7194																																			
7195																																			
7196																																			
7197																																			
7198																																			
7199																																			
7200	Convoy46306		3	13	task_TrackInfo_46306	WorldNpc08935																													
7201																																			
7202																																			
7203																																			
7204																																			
7205																																			
7206																																			
7207																																			
7208																																			
7209																																			
7210																																			
7211																																			
7212																																			
7213																																			
7214																																			
7215																																			
7216																																			
7217																																			
7218																																			
7219																																			
7220																																			
7221																																			
7222																																			
7223																																			
7224																																			
7225																																			
7226																																			
7227																																			
7228																																			
7229																																			
7230																																			
7231																																			
7232																																			
7233																																			
7234																																			
7235																																			
