STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
7000	WorldNpc03313	7	dialog_46001_1		taskitem_w001-1	interact46001_1	okmenu46001_1	
7001	WorldNpc03313	7	dialog_46001_2			interact46001_2	okmenu46001_2	
7002	WorldNpc03335	7	dialog_46006_1	taskitem_w003-1		interact46006_1	okmenu46006_1	
7003	WorldNpc03313	7	dialog_46006_2		taskitem_w003-1	interact46006_2	okmenu46006_2	
7004	WorldNpc03313	7	dialog_46008_1	taskitem_w004-1		interact46008_1	okmenu46008_1	
7005	WorldNpc03312	7	dialog_46008_2		taskitem_w004-1	interact46008_2	okmenu46008_2	
7006	WorldNpc03312	7	dialog_46019_1	taskitem_w005-1		interact46019_1	okmenu46019_1	
7007	WorldNpc03440	7	dialog_46020_1		taskitem_w005-1	interact46020_1	okmenu46020_1	
7008	WorldNpc03440	7	dialog_46020_2			interact46020_2	okmenu46020_2	
7009	WorldNpc03421	7	dialog_46040_1		taskitem_w007-1	interact46040_1	okmenu46040_1	
7010	WorldNpc03335	7	dialog_46042_1			interact46042_1	okmenu46042_1	
7011	WorldNpc03335	7	dialog_46042_2		taskitem_w006-1	interact46042_2	okmenu46042_2	
7012	WorldNpc03421	7	dialog_46045_1	taskitem_w007-1		interact46045_1	okmenu46045_1	
7013	WorldNpc03313	7	dialog_46045_2		taskitem_w007-1	interact46045_2	okmenu46045_2	
7014	WorldNpc03305	7	dialog_46051_1		taskitem_w008-1	interact46051_1	okmenu46051_1	
7015	WorldNpc03306	7	dialog_46054_1			interact46054_1	okmenu46054_1	
7016	WorldNpc03305	7	dialog_46078_1		taskitem_w110-1	interact46078_1	okmenu46078_1	
7017	WorldNpc03314	7	dialog_46097_1	taskitem_w114-1		interact46097_1	okmenu46097_1	
7018	WorldNpc03316	7	dialog_46097_2		taskitem_w114-1	interact46097_2	okmenu46097_2	
7019	EventNpc46099	24				interact46099_1		
7020	EventNpc46109	24				interact46109_1		
7021	EventNpc46115	24				interact46115_1		
7022	EventNpc46128	24				interact46128_1		
7023	WorldNpc05098	24	dialog_46129_1	taskitem_w118-1		interact46129_1	okmenu46129_1	
7024	WorldNpc05099	24	dialog_46129_2		taskitem_w118-1	interact46129_2	okmenu46129_2	
7025	WorldNpc05100	24	dialog_46131_1		taskitem_w118-1	interact46131_1	okmenu46131_1	
7026	WorldNpc04405	11	dialog_46159_1			interact46159_1	okmenu46159_1	
7027	WorldNpc04404	11	dialog_46159_2			interact46159_2	okmenu46159_2	
7028	WorldNpc04401	11	dialog_46169_1		taskitem_w120-1	interact46169_1	okmenu46169_1	
7029	EventNpc46170	11				interact46170_1		
7030	EventNpc46173	11				interact46173_1		
7031	WorldNpc04701	11	dialog_46177_1		taskitem_w121-1	interact46177_1	okmenu46177_1	
7032	WorldNpc03305	7	dialog_46187_1		taskitem_w123-1	interact46187_1	okmenu46187_1	
7033	WorldNpc02036	19	dialog_46194_1			interact46194_1	okmenu46194_1	
7034	EventNpc46203	19				interact46203_1		
7035	EventNpc46209	19				interact46209_1		
7036	WorldNpc02038	19	dialog_46224_1			interact46224_2	okmenu46224_1	
7200	WorldNpc08934	13	dialog_46294_1			interact46294_1	okmenu46294_1	
7201	WorldNpc08504	13	dialog_46296_1	useitem_1yc-1		interact46296_1	okmenu46296_1	
7202	WorldNpc08934	13	dialog_46304_1			interact46304_1	okmenu46304_1	
