STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
10001	WorldNpc02634	10	dialog_40001_1			interact40001_1	okmenu40001_1	
10002	WorldNpc02626	10	dialog_40001_2			interact40001_2	okmenu40001_2	
10003	WorldNpc02629	10	dialog_40001_3			interact40001_3	okmenu40001_3	
10004	WorldNpc02605	10	dialog_40001_4			interact40001_4	okmenu40001_4	
10005	EventNpc40004	10				interact40004		
10006	WorldNpc02681	10	dialog_40005_1			interact40005	okmenu40005_1	
10007	Gather00018h	10		useitem_25h-1		interact40016		
10008	EventNpc40017_1	10				interact40017_1		
10009	EventNpc40017_2	10				interact40017_2		
10010	WorldNpc02610	10	dialog_40026_1			interact40026_1	okmenu40026_1	
10011	WorldNpc02610	10	dialog_40026_2			interact40026_2	okmenu40026_2	
10012	WorldNpc02610	10	dialog_40027_1	useitem_26h-1		interact40027_1	okmenu40027_1	
10013	WorldNpc02684	10	dialog_40027_2			interact40027_2	okmenu40027_2	
10014	WorldNpc02684	10	dialog_40027_3		useitem_31h-1	interact40027_3	okmenu40027_3	
10015	Gather00021h	10		useitem_27h-1		interact40029_1		
10016	WorldNpc02684	10	dialog_40029_1			interact40029_2	okmenu40029_1	
10017	Gather00023h	10		taskitem_37h-1		interact40038		
10018	Gather00023h	10		taskitem_37h-1		interact40038		
10019	Gather00023h	10		taskitem_37h-1		interact40038		
10020	WorldNpc02684	10	dialog_40039_1		useitem_28h-1	interact40039_1	okmenu40039_1	
10021	Gather00022h	10		useitem_28h		interact40039_2		
10022	WorldNpc02684	10	dialog_40041_1			interact40041_1	okmenu40041_1	
10023	WorldNpc02613	10	dialog_40097_1			interact40097_1	okmenu40097_1	
10024	Gather00024h	10		taskitem_38h-1		interact40097_2		
10025	WorldNpc02686	10	dialog_40097_2		taskitem_38h-1	interact40097_3	okmenu40097_2	
10026	EventNpc40098_1	10				interact40098_1		
10027	EventNpc40098_2	10				interact40098_2		
