STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
12001	WorldNpc00364	12	dialog_38003_1			interact38003	OkMenu 38003	
12002	WorldNpc00262	12	dialog_38006_1		taskitem_296-1	interact38006_1	OkMenu 38006_1	
12003	WorldNpc00212	12	dialog_38012_1			interact38012_1	OkMenu 38012_1	
12004	WorldNpc00210	12	dialog_38012_2			interact38012_2	OkMenu 38012_2	
12005	WorldNpc00210	12	dialog_38047_1			interact38047_1	OkMenu 38047_1	
12006	WorldNpc00274	12	dialog_38047_2			interact38047_2	OkMenu 38047_2	
12007	WorldNpc00211	12	dialog_38047_3			interact38047_3	OkMenu 38047_3	
12008	WorldNpc00355	12	dialog_38047_4			interact38047_4	OkMenu 38047_4	
12009	WorldNpc00203	12	dialog_38048_2			interact38048_2	OkMenu 38048_1	
12010	WorldNpc00462	12	dialog_38048_3			interact38048_3	OkMenu 38048_2	
12011	WorldNpc00473	12	dialog_38048_4			interact38048_4	OkMenu 38048_3	
12012	WorldNpc00210	12	dialog_38084_1	taskitem_7j-1		interact38084_1	OkMenu 38084_1	
12013	WorldNpc00212	12	dialog_38084_2		taskitem_7j-1	interact38084_2	OkMenu 38084_2	
12014	WorldNpc00372	12	dialog_38105_1			interact38105	OkMenu 38105	
12015	WorldNpc00201	12	dialog_38111_1	taskitem_16b-1	taskitem_23b-1	interact38111_1	OkMenu 38111_1	
12016	WorldNpc00212	12	dialog_38111_2		taskitem_16b-1	interact38111_2	OkMenu 38111_2	
12017	WorldNpc00201	12	dialog_38123_1		taskitem_20b-1	interact38123	OkMenu 38123	
12018	WorldNpc00447	12	dialog_38132_1			interact38132	OkMenu 38132	
12019	WorldNpc00331	12	dialog_38152_1		taskitem_381-1	interact38152	OkMenu 38152	
12020	WorldNpc00212	12	dialog_38154_2			interact38154_2	OkMenu 38154_2	
12021	WorldNpc00210	12	dialog_38154_3			interact38154_3	OkMenu 38154_3	
12022	WorldNpc00206	12	dialog_38160_1		taskitem_383-1	interact38160	OkMenu 38160	
12023	WorldNpc00206	12	dialog_38163_1		taskitem_385-1	interact38163	OkMenu 38163	
12024	WorldNpc00342	12	dialog_38171_1	taskitem_386-1		interact38171	OkMenu 38171	
12025	ItemNpc20501	20	dialog_38173_1		taskitem_386-1	interact38173	OkMenu 38173	
12026	ItemNpc20502	20	dialog_38185_1		taskitem_388-1	interact38185	OkMenu 38185	
12027	WorldNpc00246	12	dialog_38193_1			interact38193	OkMenu 38193	
12028	WorldNpc00204	12	dialog_38249			interact38249	OkMenu 38249	
12029	WorldNpc00203	12	dialog_38273	useitem_1g-1		interact38273	OkMenu 38273	
12030	WorldNpc00228	12	dialog_38278_1	taskitem_13g-1		interact38278_1	OkMenu 38278_1	
12031	WorldNpc00204	12	dialog_38278_2		taskitem_13g-1	interact38278_2	OkMenu 38278_2	
12032	WorldNpc01616	14	dialog_38328_1		taskitem_11g-1	interact38328_1	OkMenu 38328_1	
12033	WorldNpc01619	14	dialog_38334_1			interact38334	OkMenu 38334_1	
12034	WorldNpc08913	13	dialog_38338_1		taskitem_397-1	interact38338_1	OkMenu 38338_1	
12035	WorldNpc08913	13	dialog_38338_2			interact38338_2	OkMenu 38338_2	
12036	WorldNpc08926	13	dialog_38349_1			interact38349_1	OkMenu 38349_1	
12037	WorldNpc08926	13	dialog_38349_2			interact38349_2	OkMenu 38349_2	
12038	WorldNpc08932	13	dialog_38361_1		taskitem_419-1	interact38361	OkMenu 38361	
12039	WorldNpc08933	13	dialog_38366_1	useitem_1b-1		interact38366_1	OkMenu 38366_1	
12040	WorldNpc08920	13	dialog_38366_2		useitem_1b-1	interact38366_2	OkMenu 38366_2	
12041	WorldNpc08921	13	dialog_38371_1		taskitem_41j-1	interact38371	OkMenu 38371	
12042	WorldNpc08916	13	dialog_38384_2		taskitem_408-1	interact38384	OkMenu 38384	
12043	WorldNpc00224	12	dialog_38390_1	taskitem_407-1		interact38390_1	OkMenu 38390_1	
12044	WorldNpc00262	12	dialog_38390_2		taskitem_407-1	interact38390_2	OkMenu 38390_2	
12045	WorldNpc08828	13	dialog_38405_1	taskitem_321-3		interact38405_1	OkMenu 38405_1	
12046	WorldNpc08831	13	dialog_38405_2		taskitem_321-3	interact38405_2	OkMenu 38405_2	
12047	WorldNpc10008	16	dialog_38416_1	taskitem_177-2		interact38416_1	OkMenu 38416_1	
12048	WorldNpc10017	16	dialog_38416_2		taskitem_177-2	interact38416_2	OkMenu 38416_2	
12049	WorldNpc10008	16	dialog_38417_1	taskitem_40j-1		interact38417_1	OkMenu 38417_1	
12050	WorldNpc10018	16	dialog_38417_2		taskitem_40j-1	interact38417_2	OkMenu 38417_2	
12051	Gather00006b	16	0			interact38418	OkMenu 38418	
12052	WorldNpc06136	22	dialog_38434_1			interact38434_1	OkMenu 38434_1	
12053	WorldNpc06134	22	dialog_38434_2			interact38434_2	OkMenu 38434_2	
12054	WorldNpc06135	22	dialog_38434_3			interact38434_3	OkMenu 38434_3	
12057	WorldNpc01123	14	dialog_38470_1	taskitem_43j-3		interact38470_1	OkMenu 38470	
12060	WorldNpc01455	14	dialog_38480_1		taskitem_44j-1	interact38480	OkMenu 38480	
12061	WorldNpc00229	12	dialog_38481_1	taskitem_1d-1		interact38481_1	OkMenu 38481_1	
12062	WorldNpc00212	12	dialog_38481_2		taskitem_1d-1	interact38481_2	OkMenu 38481_2	
12063	WorldNpc02520	9	dialog_38494			interact38494	OkMenu 38494	
12064	WorldNpc02502	9	dialog_38502			interact38502	OkMenu 38502	
12065	WorldNpc02502	9	dialog_38513_1		taskitem_13d-1	interact38513_1	OkMenu 38513_1	
12066	WorldNpc02512	9	dialog_38513_2		taskitem_13d-1	interact38513_2	OkMenu 38513_2	
12067	WorldNpc02511	9	dialog_38513_3		taskitem_13d-1	interact38513_3	OkMenu 38513_3	
12068	WorldNpc02521	9	dialog_38521			interact38521	OkMenu 38521	
12070	WorldNpc05793	21	dialog_38531_1			interact38531	OkMenu 38531	
12071	WorldNpc05793	21	dialog_38536_1		taskitem_313-1	interact38536_1	OkMenu 38536_1	
12072	WorldNpc05794	21	dialog_38536_2		taskitem_313-1	interact38536_2	OkMenu 38536_2	
12073	WorldNpc05795	21	dialog_38536_3		taskitem_313-1	interact38536_3	OkMenu 38536_3	
12074	WorldNpc05796	21	dialog_38536_4		taskitem_313-1	interact38536_4	OkMenu 38536_4	
12075	WorldNpc05793	21	dialog_38539_1		taskitem_19-1	interact38539_1	OkMenu 38539_1	
12076	WorldNpc05794	21	dialog_38539_2		taskitem_19-1	interact38539_2	OkMenu 38539_2	
12077	WorldNpc05795	21	dialog_38539_3		taskitem_19-1	interact38539_3	OkMenu 38539_3	
12078	WorldNpc05796	21	dialog_38539_4		taskitem_19-1	interact38539_4	OkMenu 38539_4	
12079	WorldNpc05791	21	dialog_38559_1			interact38559_1	OkMenu 38559_1	
12080	WorldNpc05799	21	dialog_38559_2			interact38559_2	OkMenu 38559_2	
12081	WorldNpc05793	21	dialog_38560_1			interact38560_1	OkMenu 38560_1	
12082	WorldNpc05794	21	dialog_38560_2			interact38560_2	OkMenu 38560_2	
12083	WorldNpc05795	21	dialog_38560_3			interact38560_3	OkMenu 38560_3	
12084	WorldNpc05796	21	dialog_38560_4			interact38560_4	OkMenu 38560_4	
