STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel
36001	奇异女子		s150101	4	WorldNpc04430	WorldNpc04412	11	11			42	36002									title_36001	context_36001	context_36001,menu_36001	complete_36001	uncom_36001	target_36001	task_TrackInfo_36001	next_36001	CanAcceptMenu_36001	UncompleteMenu_36001	CompleteMenu_36001					1	0	0				
36002	奇异女子		s150101	4	WorldNpc04412	WorldNpc04430	11	11			36001	36003									title_36002	context_36002	context_36002,menu_36002	complete_36002	uncom_36002	target_36002	task_TrackInfo_36002	next_36002	CanAcceptMenu_36002	UncompleteMenu_36002	CompleteMenu_36002					1	0	0				
36003	奇异女子		s150101	4	WorldNpc04430	WorldNpc04412	11	11			36002	36004				6001					title_36003	context_36003	context_36003,menu_36003	complete_36003	uncom_36003	target_36003	task_TrackInfo_36003	next_36003	CanAcceptMenu_36003	UncompleteMenu_36003	CompleteMenu_36003					1	0	0				
36004	奇异女子		s150101	4	WorldNpc04412	WorldNpc04430	11	11			36003	36005									title_36004	context_36004	context_36004,menu_36004	complete_36004	uncom_36004	target_36004	task_TrackInfo_36004	next_36004	CanAcceptMenu_36004	UncompleteMenu_36004	CompleteMenu_36004					1	0	0				
36005	奇异女子		s150101	4	WorldNpc04430	WorldNpc04413	11	11			36004	36006									title_36005	context_36005	context_36005,menu_36005	complete_36005	uncom_36005	target_36005	task_TrackInfo_36005	next_36005	CanAcceptMenu_36005	UncompleteMenu_36005	CompleteMenu_36005					1	0	0				
36006	奇异女子		s150101	4	WorldNpc04413	WorldNpc04413	11	11			36005	36007									title_36006	context_36006	context_36006,menu_36006	complete_36006	uncom_36006	target_36006	task_TrackInfo_36006	next_36006	CanAcceptMenu_36006	UncompleteMenu_36006	CompleteMenu_36006					1	0	0				
36007	奇异女子		s150101	4	WorldNpc04413	WorldNpc04413	11	11			36006	36008									title_36007	context_36007	context_36007,menu_36007	complete_36007	uncom_36007	target_36007	task_TrackInfo_36007	next_36007	CanAcceptMenu_36007	UncompleteMenu_36007	CompleteMenu_36007					1	0	0				
36008	奇异女子		s150101	4	WorldNpc04413	WorldNpc04401	11	11			36007	36009				6003					title_36008	context_36008	context_36008,menu_36008	complete_36008	uncom_36008	target_36008	task_TrackInfo_36008	next_36008	CanAcceptMenu_36008	UncompleteMenu_36008	CompleteMenu_36008					1	0	0				
36009	奇异女子		s150101	4	WorldNpc04401	WorldNpc04430	11	11			36008	36010									title_36009	context_36009	context_36009,menu_36009	complete_36009	uncom_36009	target_36009	task_TrackInfo_36009	next_36009	CanAcceptMenu_36009	UncompleteMenu_36009	CompleteMenu_36009					1	0	0				
