STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel
44289	Ω≠∫˛¬“ ¿		s100701	4	WorldNpc03003	WorldNpc10051	6	16				44290									title_44289	context_44289	context_44289,menu_44289	complete_44289	uncom_44289	target_44289	task_TrackInfo_44289	next_44289	CanAcceptMenu_44289	UncompleteMenu_44289	CompleteMenu_44289					1	0					
44290	Ω≠∫˛¬“ ¿		s100701	4	WorldNpc10051	WorldNpc10052	16	16			44289	44291									title_44290	context_44290	context_44290,menu_44290	complete_44290	uncom_44290	target_44290	task_TrackInfo_44290	next_44290	CanAcceptMenu_44290	UncompleteMenu_44290	CompleteMenu_44290					1	0					
44291	Ω≠∫˛¬“ ¿		s100701	4	WorldNpc10052	WorldNpc10052	16	16			44290	44292									title_44291	context_44291	context_44291,menu_44291	complete_44291	uncom_44291	target_44291	task_TrackInfo_44291	next_44291	CanAcceptMenu_44291	UncompleteMenu_44291	CompleteMenu_44291					1	0					
44292	Ω≠∫˛¬“ ¿		s100701	4	WorldNpc10052	WorldNpc10052	16	16			44291	44293									title_44292	context_44292	context_44292,menu_44292	complete_44292	uncom_44292	target_44292	task_TrackInfo_44292	next_44292	CanAcceptMenu_44292	UncompleteMenu_44292	CompleteMenu_44292					1	0					
44293	Ω≠∫˛¬“ ¿		s100701	4	WorldNpc10052	WorldNpc10027	16	16			44292	44294									title_44293	context_44293	context_44293,menu_44293	complete_44293	uncom_44293	target_44293	task_TrackInfo_44293	next_44293	CanAcceptMenu_44293	UncompleteMenu_44293	CompleteMenu_44293					1	0					
44294	Ω≠∫˛¬“ ¿		s100701	4	WorldNpc10027	WorldNpc10027	16	16			44293	44295									title_44294	context_44294	context_44294,menu_44294	complete_44294	uncom_44294	target_44294	task_TrackInfo_44294	next_44294	CanAcceptMenu_44294	UncompleteMenu_44294	CompleteMenu_44294					1	0					
44295	Ω≠∫˛¬“ ¿		s100701	4	WorldNpc10027	WorldNpc10055	16	16			44294	44296									title_44295	context_44295	context_44295,menu_44295	complete_44295	uncom_44295	target_44295	task_TrackInfo_44295	next_44295	CanAcceptMenu_44295	UncompleteMenu_44295	CompleteMenu_44295					1	0					
44296	Ω≠∫˛¬“ ¿		s100701	4	WorldNpc10055	WorldNpc10055	16	16			44295	44297									title_44296	context_44296	context_44296,menu_44296	complete_44296	uncom_44296	target_44296	task_TrackInfo_44296	next_44296	CanAcceptMenu_44296	UncompleteMenu_44296	CompleteMenu_44296					1	0					
44297	Ω≠∫˛¬“ ¿		s100701	4	WorldNpc10055	WorldNpc10056	16	16			44296	44298									title_44297	context_44297	context_44297,menu_44297	complete_44297	uncom_44297	target_44297	task_TrackInfo_44297	next_44297	CanAcceptMenu_44297	UncompleteMenu_44297	CompleteMenu_44297					1	0					
