STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel
40001	蕙质兰心	【1/12】		4	WorldNpc02604	WorldNpc02610	10	10			43	40002							submitnpcex_40001		title_40001	context_40001	context_40001,menu_40001	complete_40001	uncom_40001	target_40001	task_TrackInfo_40001	next_40001	CanAcceptMenu_40001	UncompleteMenu_40001	CompleteMenu_40001					1	0	0				
40002	蕙质兰心	【2/12】		4	WorldNpc02610	WorldNpc02610	10	10			40001	40003									title_40002	context_40002	context_40002,menu_40002	complete_40002	uncom_40002	target_40002	task_TrackInfo_40002	next_40002	CanAcceptMenu_40002	UncompleteMenu_40002	CompleteMenu_40002					1	0	0				
40003	蕙质兰心	【3/12】		4	WorldNpc02610	WorldNpc02685	10	10			40002	40004				10001					title_40003	context_40003	context_40003,menu_40003	complete_40003	uncom_40003	target_40003	task_TrackInfo_40003	next_40003	CanAcceptMenu_40003	UncompleteMenu_40003	CompleteMenu_40003					1	0	0				
40004	蕙质兰心	【4/12】		4	WorldNpc02685	WorldNpc02680	10	10			40003	40005									title_40004	context_40004	context_40004,menu_40004	complete_40004	uncom_40004	target_40004	task_TrackInfo_40004	next_40004	CanAcceptMenu_40004	UncompleteMenu_40004	CompleteMenu_40004					1	0	0				
40005	蕙质兰心	【5/12】		4	WorldNpc02680	WorldNpc02681	10	10			40004	40006									title_40005	context_40005	context_40005,menu_40005	complete_40005	uncom_40005	target_40005	task_TrackInfo_40005	next_40005	CanAcceptMenu_40005	UncompleteMenu_40005	CompleteMenu_40005					1	0	0				
40006	蕙质兰心	【6/12】		4	WorldNpc02681	WorldNpc02610	10	10			40005	40013							submitnpcex_40006		title_40006	context_40006	context_40006,menu_40006	complete_40006	uncom_40006	target_40006	task_TrackInfo_40006	next_40006	CanAcceptMenu_40006	UncompleteMenu_40006	CompleteMenu_40006					1	0	0				
40007	第1章第1回	【7/12】		4																	title_40007	context_40007	context_40007,menu_40007	complete_40007	uncom_40007	target_40007	task_TrackInfo_40007	next_40007	CanAcceptMenu_40007	UncompleteMenu_40007	CompleteMenu_40007					1	0	0				
40008	第1章第1回	【8/12】		4																	title_40008	context_40008	context_40008,menu_40008	complete_40008	uncom_40008	target_40008	task_TrackInfo_40008	next_40008	CanAcceptMenu_40008	UncompleteMenu_40008	CompleteMenu_40008					1	0	0				
40009	第1章第1回	【9/12】		4																	title_40009	context_40009	context_40009,menu_40009	complete_40009	uncom_40009	target_40009	task_TrackInfo_40009	next_40009	CanAcceptMenu_40009	UncompleteMenu_40009	CompleteMenu_40009					1	0	0				
40010	第1章第1回	【10/12】		4																	title_40010	context_40010	context_40010,menu_40010	complete_40010	uncom_40010	target_40010	task_TrackInfo_40010	next_40010	CanAcceptMenu_40010	UncompleteMenu_40010	CompleteMenu_40010					1	0	0				
40011	第1章第1回	【11/12】		4																	title_40011	context_40011	context_40011,menu_40011	complete_40011	uncom_40011	target_40011	task_TrackInfo_40011	next_40011	CanAcceptMenu_40011	UncompleteMenu_40011	CompleteMenu_40011					1	0	0				
40012	第1章第1回	【12/12】		4																	title_40012	context_40012	context_40012,menu_40012	complete_40012	uncom_40012	target_40012	task_TrackInfo_40012	next_40012	CanAcceptMenu_40012	UncompleteMenu_40012	CompleteMenu_40012					1	0	0				
40013	色胆包天	【1/12】		4	WorldNpc02610	WorldNpc02610	10	10			40006	40014									title_40013	context_40013	context_40013,menu_40013	complete_40013	uncom_40013	target_40013	task_TrackInfo_40013	next_40013	CanAcceptMenu_40013	UncompleteMenu_40013	CompleteMenu_40013					1	0	0				
40014	色胆包天	【2/12】		4	WorldNpc02610	WorldNpc02610	10	10			40013	40015							submitnpcex_40015		title_40014	context_40014	context_40014,menu_40014	complete_40014	uncom_40014	target_40014	task_TrackInfo_40014	next_40014	CanAcceptMenu_40014	UncompleteMenu_40014	CompleteMenu_40014					1	0	0				
40015	色胆包天	【3/12】		4	WorldNpc02610	WorldNpc02610	10	10			40014	40016									title_40015	context_40015	context_40015,menu_40015	complete_40015	uncom_40015	target_40015	task_TrackInfo_40015	next_40015	CanAcceptMenu_40015	UncompleteMenu_40015	CompleteMenu_40015					1	0	0				
