STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	AcceptLimit	SubmitLimit	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel
48001	为情所困			4	WorldNpc03810	WorldNpc03810	8	8			48034	48002									title_48001	context_48001	context_48001,menu_48001	complete_48001	uncom_48001	target_48001	task_TrackInfo_48001	next_48001	CanAcceptMenu_48001	UncompleteMenu_48001	CompleteMenu_48001					1	0	0	0	0		
48002	为情所困			4	WorldNpc03810	WorldNpc03820	8	8			48001	48003									title_48002	context_48002	context_48002,menu_48002	complete_48002	uncom_48002	target_48002	task_TrackInfo_48002	next_48002	CanAcceptMenu_48002	UncompleteMenu_48002	CompleteMenu_48002					1	0	0	0	0		
48003	为情所困			4	WorldNpc03820	WorldNpc03834	8	8			48002	48004									title_48003	context_48003	context_48003,menu_48003	complete_48003	uncom_48003	target_48003	task_TrackInfo_48003	next_48003	CanAcceptMenu_48003	UncompleteMenu_48003	CompleteMenu_48003					1	0	0	0	0		
48004	为情所困			4	WorldNpc03834	WorldNpc03834	8	8			48003	48005									title_48004	context_48004	context_48004,menu_48004	complete_48004	uncom_48004	target_48004	task_TrackInfo_48004	next_48004	CanAcceptMenu_48004	UncompleteMenu_48004	CompleteMenu_48004					1	0	0	0	0		
48005	为情所困			4	WorldNpc03834	WorldNpc03820	8	8			48004	48006									title_48005	context_48005	context_48005,menu_48005	complete_48005	uncom_48005	target_48005	task_TrackInfo_48005	next_48005	CanAcceptMenu_48005	UncompleteMenu_48005	CompleteMenu_48005					1	0	0	0	0		
48006	为情所困			4	WorldNpc03820	WorldNpc03820	8	8			48005	48007									title_48006	context_48006	context_48006,menu_48006	complete_48006	uncom_48006	target_48006	task_TrackInfo_48006	next_48006	CanAcceptMenu_48006	UncompleteMenu_48006	CompleteMenu_48006					1	0	0	0	0		
48007	为情所困			4	WorldNpc03820	WorldNpc03834	8	8			48006	48008				7001					title_48007	context_48007	context_48007,menu_48007	complete_48007	uncom_48007	target_48007	task_TrackInfo_48007	next_48007	CanAcceptMenu_48007	UncompleteMenu_48007	CompleteMenu_48007					1	0	0	0	0		
48008	仇火点燃			4	WorldNpc03834	WorldNpc03810	8	8			48007	48009				7002					title_48008	context_48008	context_48008,menu_48008	complete_48008	uncom_48008	target_48008	task_TrackInfo_48008	next_48008	CanAcceptMenu_48008	UncompleteMenu_48008	CompleteMenu_48008					1	0	0	0	0		
48009	仇火点燃			4	WorldNpc03810	WorldNpc03855	8	8			48008	48010									title_48009	context_48009	context_48009,menu_48009	complete_48009	uncom_48009	target_48009	task_TrackInfo_48009	next_48009	CanAcceptMenu_48009	UncompleteMenu_48009	CompleteMenu_48009					1	0	0	0	0		
48010	仇火点燃			4	WorldNpc03855	WorldNpc03810	8	8			48009	48011									title_48010	context_48010	context_48010,menu_48010	complete_48010	uncom_48010	target_48010	task_TrackInfo_48010	next_48010	CanAcceptMenu_48010	UncompleteMenu_48010	CompleteMenu_48010					1	0	0	0	0		
48011	仇火点燃			4	WorldNpc03810	WorldNpc03810	8	8			48010	48012				7003					title_48011	context_48011	context_48011,menu_48011	complete_48011	uncom_48011	target_48011	task_TrackInfo_48011	next_48011	CanAcceptMenu_48011	UncompleteMenu_48011	CompleteMenu_48011					1	0	0	0	0		
48012	仇火点燃			4	WorldNpc03810	WorldNpc03810	8	8			48011	48013									title_48012	context_48012	context_48012,menu_48012	complete_48012	uncom_48012	target_48012	task_TrackInfo_48012	next_48012	CanAcceptMenu_48012	UncompleteMenu_48012	CompleteMenu_48012					1	0	0	0	0		
48013	仇火点燃			4	WorldNpc03810	WorldNpc03841	8	8			48012	48014									title_48013	context_48013	context_48013,menu_48013	complete_48013	uncom_48013	target_48013	task_TrackInfo_48013	next_48013	CanAcceptMenu_48013	UncompleteMenu_48013	CompleteMenu_48013					1	0	0	0	0		
48014	仇火点燃			4	WorldNpc03841	WorldNpc03841	8	8			48013	48015									title_48014	context_48014	context_48014,menu_48014	complete_48014	uncom_48014	target_48014	task_TrackInfo_48014	next_48014	CanAcceptMenu_48014	UncompleteMenu_48014	CompleteMenu_48014					1	0	0	0	0		
48015	魔教往事			4	WorldNpc03841	WorldNpc03847	8	8			48014	48016									title_48015	context_48015	context_48015,menu_48015	complete_48015	uncom_48015	target_48015	task_TrackInfo_48015	next_48015	CanAcceptMenu_48015	UncompleteMenu_48015	CompleteMenu_48015					1	0	0	0	0		
