STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING																														
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID																														
11001	WorldNpc04413	1		hunter36002	11			1																																	
11002	monm072400	3		hunter36013	11																																				
11003	monm072400	6		hunter36016	11																																				
11004	monm072200	8		hunter36019	11																																				
11005	WorldNpc04802	1		hunter36020	11			1																																	
11006	monrm071900	3		hunter36028	11		1																																		
11007	monrm074900	3		hunter36029_1	11		1																																		
11008	monrm071800	1		hunter36029_2	11		1																																		
11009	monrm071900	3		hunter36042	11		1																																		
11010	WorldNpc04417	1		hunter36043	11			1																																	
11011	WorldNpc04804	1		hunter36047	11			1																																	
11012	WorldNpc04418	1		hunter36052	11			1																																	
11013	monm070600	6		hunter36053	11																																				
11014	monm071600	10		hunter36063	11																																				
11015	WorldNpc04436	1		hunter36067	11			1																																	
11016	WorldNpc04418	1		hunter36075	11			1																																	
11017	WorldNpc04705	1		hunter36079	11			1																																	
11018	monm073300	6		hunter36083	11																																				
11020	monm072600	10		hunter36090	11																																				
11021	WorldNpc04812	1		hunter36093	11			1																																	
11022	WorldNpc04812	1		hunter36099	11			1																																	
11023	monrm074000	3		hunter36107	11		1																																		
11024	monm071500	10		hunter36114	11																																				
11025	monrm072700	1		hunter36117	11		1																																		
11026	WorldNpc04560	1		hunter36122	11			1																																	
11027	monm072300	5		hunter36125	11																																				
11028	WorldNpc04563	1		hunter36139	11			1																																	
11029	WorldNpc04564	1		hunter36141	11			1																																	
11030	WorldNpc04565	1		hunter36142	11			1																																	
11032	WorldNpc09624	1		hunter36158	17			1																																	
11033	WorldNpc09625	1		hunter36160	17			1																																	
11034	monrc053000	6		hunter36164	17		1																																		
11035	monc051500	5		hunter36167	17																																				
11036	monrm073100	1		hunter36174	17																																				
11037	WorldNpc09812	1		hunter36178	17			1																																	
11042	monm083200	10		hunter36194	12																																				
11043	WorldNpc00386	1		hunter36197	12			1																																	
11044	monrm081700	2		hunter36203	12		1																																		
11045	WorldNpc00394	1		hunter36209	12			1																																	
11046	WorldNpc00395	1		hunter36213	12			1																																	
11047	monm083600	10		hunter36214	12																																				
11048	monm083300	10		hunter36217	12																																				
11049	monm083400	10		hunter36219	12																																				
11050	WorldNpc00487	1		hunter36224	12			1																																	
11051	monrm081800	3		hunter36233	12		1																																		
11052	monrm081900	3		hunter36237	12		1																																		
11053	monrm082200	1		hunter36238	12		1																																		
11054	WorldNpc04431	1		hunter36243	11			1																																	
11055	monrm073600	3		hunter36247	11		1																																		
11057	monf031100	10		hunter36254	20																																				
11058	monf031300	10		hunter36257	20																																				
11059	monf031200	10		hunter36259	20																																				
11060	monf030100	10		hunter36265	20																																				
11061	WorldNpc06618	1		hunter36269	20			1																																	
11062	monf030600	10		hunter36272	20																																				
11063	WorldNpc06621	1		hunter36275	20			1																																	
11065	WorldNpc06625	1		hunter36281	20			1																																	
11066	monf030300	10		hunter36284	20																																				
11067	WorldNpc04566	1		hunter36292	11			1																																	
11068	WorldNpc04432	1		hunter36295	11			1																																	
11069	WorldNpc09901	1		hunter36302	17			1																																	
11070	WorldNpc09902	1		hunter36304	17			1																																	
11071	WorldNpc09903	1		hunter36306	17			1																																	
11072	monc052200	10		hunter36313	17																																				
11074	monm075200	10		hunter36325	11																																				
11075	WorldNpc04432	1		hunter36332	11			1																																	
11076	monrm073900	1		hunter36335	11																																				
11077	WorldNpc04572	1		hunter36340	11			1																																	
11078	monrm074300	2		hunter36344	11		1																																		
11079	WorldNpc04573	1		hunter36346	11			1																																	
11080	monrc042600	3		hunter36355	16		1																																		
11081	WorldNpc10036	1		hunter36356	16			1																																	
11082	monrc042800	3		hunter36372	16		1																																		
11083	WorldNpc10040	1		hunter36373	16			1																																	
11084	monrc021900	3		hunter36387	13		1																																		
11085	WorldNpc08611	1		hunter36388	13			1																																	
11086	monc022300	5		hunter36395	13																																				
11088	monc022200	5		hunter36400	13																																				
11089	monc022500	5		hunter36402	13																																				
11090	monc022500	5		hunter36406	13																																				
11091	monc022600	10		hunter36416	13																																				
11092	bossc020100	1		hunter36417	13																																				
11093	monrc021700	3		hunter36418	13		1																																		
11094	monc022300	10		hunter36422	13																																				
11095	monc022600	10		hunter36424	13																																				
11096	monc022600	10		hunter36425	13																																				
11097	WorldNpc04434	1		hunter36434_1	11			1																																	
11099	monrm074400	1		hunter36436	11		1																																		
11100	monrf031900	4		hunter36441	20		1																																		
11101	WorldNpc06630	1		hunter36443	20			1																																	
11102	WorldNpc06632	1		hunter36446	20			1																																	
11103	monf033600	10		hunter36449_2	20																																				
11104	monf033700	10		hunter36449_3	20																																				
11106	WorldNpc06632	1		hunter36455	20			1																																	
11108	monf033300	10		hunter36459	20																																				
11110	WorldNpc06635	1		hunter36464	20			1																																	
11111	monrc022000	3		hunter36475	13		1																																		
11112	monrc023000	5		hunter36477	13		1																																		
11114	monf010100	10		hunter36486	18																																				
11115	WorldNpc05385	1		hunter36489	18			1																																	
11116	monrf010200	1		hunter36498	18		1																																		
11117	monf010200	10		hunter36504	18																																				
11118	WorldNpc05385	1		hunter36506	18			1																																	
11120	monrf010400	10		hunter36513	18		1																																		
11121	monf010300	10		hunter36519	18		1																																		
11122	monrf011200	1		hunter36522	18		1																																		
11123	monrv021500	4		hunter36536	2		1																																		
11124	WorldNpc09204	1		hunter36537	2			1																																	
11125	WorldNpc09204	1		hunter36539_1	2			1																																	
11126	monrv021100	1		hunter36539_2	2																																				
11127	monrv021800	10		hunter36544	2		1																																		
11128	WorldNpc09310	1		hunter36551	2			1																																	
11129	WorldNpc09309	1		hunter36553	2			1																																	
11130	WorldNpc09302	1		hunter36556	2			1																																	
11131	WorldNpc06903	1		hunter36566	26			1																																	
11132	monf093700	10		hunter36569	26																																				
11133	WorldNpc06905	1		hunter36571	26			1																																	
11134	WorldNpc04576	1		hunter36075	11			1																																	
11135	monrm074600	2		hunter36077	11		1																																		
11136	monm072500	10		hunter36081	11																																				
11137	monrm074700	2		hunter36086	11		1																																		
11138	WorldNpc04705	1		hunter36089	11			1																																	
11139	monm072600	5		hunter36082	11																																				
11140	monrc053300	4		hunter36180	17		1																																		
11141	WorldNpc09802	1		hunter36183	17			1																																	
11142	WorldNpc09801	1		hunter36184	17			1																																	
11143	WorldNpc09811	1		hunter36189	17			1																																	
11144	monrf033300	3		hunter36189	20		1																																		
11145	WorldNpc10039	1		hunter36367	16			1																																	
11146	WorldNpc10040	1		hunter36381	16			1																																	
