STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING																														
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID																														
3001	jiaoxue001	3		hunter1005	3																																				
3002	bossv030100	1		hunter1013	3																																				
3003	monv031300	6		hunter1020	3																																				
3004	monv031400	6		hunter1022	3																																				
3005	npcclone001052	1		hunter2038	3																																				
3006																																									
3007	WorldNpc00693	1		hunter22041	3			1																																	
3008	monv030200	6		hunter22009	3																																				
3009	monv031100	6		hunter22017_1	3																																				
3010	bossv030100	1		hunter22017_2	3																																				
3011	monv031200	6		hunter22021	3																																				
3012	bossv030300	1		hunter22028	3																																				
3013	monv031400	6		hunter22032	3																																				
3014	monrv030200	2	13,14	hunter22035	3																																				
3015	monv031400	6		hunter22039	3																																				
3016	Qiecuo003	1			3			1																																	
3017	monc010400	6		hunter22051	14																																				
3018	monrv030100	1	12	hunter22056	14																																				
3019	AIFuncNpc01357	1		hunter22058	14			1																																	
3020	monc011100	6		hunter22060	14																																				
3021	WorldNpc01371	1		hunter22073	14			1																																	
3022	WorldNpc01370	1		hunter22073	14			1																																	
3023	WorldNpc01369	1		hunter22079	14			1																																	
3024	WorldNpc01365	1		hunter22089	14			1																																	
3025	monf040200	6		hunter22100	21																																				
3026	monf040400	6		hunter22104	21																																				
3027	bossf040100	1		hunter22104	21																																				
3028	monf041100	6		hunter22111	21																																				
3029	bossf040200	1		hunter22121	21																																				
3030	monf042100	6		hunter22123	21																																				
3031	WorldNpc06001	1		hunter22123	21			1																																	
3032	monf042300	6		hunter22126	21																																				
3033	monf042400	6		hunter22126	21																																				
3034	WorldNpc06007	1		hunter22128	21			1																																	
3035	WorldNpc06038	1		hunter22136	21			1																																	
3036	WorldNpc06038	1		hunter22138	21			1																																	
3037	monf042600	6		hunter22142	21																																				
3038	WorldNpc06165	1		hunter22147	22			1																																	
3039	monf051400	3		hunter22149	22																																				
3040	WorldNpc06168	1		hunter22155	22			1																																	
3041	monf050300	3		hunter22158	22																																				
3042	monf050300	3		hunter22161	22																																				
3043	monf050400	3		hunter22162	22																																				
3044	WorldNpc06172	1		hunter22163	22			1																																	
3045	WorldNpc06173	1		hunter22165	22			1																																	
3046	WorldNpc06175	1		hunter22170	22			1																																	
