STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING																														
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID																														
9001	monm050600	5		hunter50004	9																																				
9002	WorldNpc02239	1		hunter50005	9	1		1																																	
9003	WorldNpc02246	1		hunter50013	9	1		1																																	
9004	WorldNpc02248	1		hunter50017_1	9	1		1																																	
9006	WorldNpc02246	1		hunter50020_1	9	1		1																																	
9008	WorldNpc02247	1		hunter50025	9	1		1																																	
9009	WorldNpc02249	1		hunter50027_1	9	1		1																																	
9011	WorldNpc02250	1		hunter50030	9	1		1																																	
9012	WorldNpc02247	1		hunter50042_1	9	1		1																																	
9013	WorldNpc02244	1		hunter50051	9	1		1																																	
9014	monrm052800	1		hunter50061	9		1																																		
9015	WorldNpc02240	1		hunter50066	9	1		1																																	
9016	WorldNpc02205	1		hunter50073	9	1		1																																	
9017	WorldNpc02242	1		hunter50077	9	1		1																																	
9018	WorldNpc02240	1		hunter50082	9	1		1																																	
9019	WorldNpc02236	1		hunter50091	9			1																																	
9020	monm050500	5		hunter50094	9																																				
9021	WorldNpc02229	1		hunter50101	9	1		1																																	
9022	WorldNpc02231	1		hunter50103	9	1		1																																	
9023	WorldNpc02232	1		hunter50106	9	1		1																																	
9024	WorldNpc02233	1		hunter50109	9	1		1																																	
9025	WorldNpc02234	1		hunter50110	9	1		1																																	
9026	monrm053100	3		hunter50115	9		1																																		
9027	monrm054300	3		hunter50121	9	1	1																																		
9028	monrm054200	1		hunter50124	9	1	1																																		
9029	monrm053900	1		hunter50126	9	1	1																																		
9030	monrm056800	1		hunter50135	9	1	1																																		
9031	WorldNpc02207	1		hunter50137	9	1		1																																	
9032	monrm054700	3		hunter50146	9		1																																		
9033	monrm054100	1		hunter50150	9		1																																		
9034	WorldNpc09802	1		hunter50158	17			1																																	
9035	monrc051500	5		hunter50162	17		1																																		
9036	WorldNpc09809	1		hunter50164	17			1																																	
9037	WorldNpc09618	1		hunter50170	17			1																																	
9038	WorldNpc09619	1		hunter50171	17			1																																	
9039	monrc051900	2		hunter50178	17		1																																		
9040	monrc052000	3		hunter50184	17		1																																		
9041	WorldNpc09604	1		hunter50188	17			1																																	
9042	WorldNpc09618	1		hunter50191	17			1																																	
9043	monrv041100	3		hunter50196	1		1																																		
9044	monrv041200	3		hunter50199	1		1																																		
9045	WorldNpc00039	1		hunter50200	1			1																																	
9046	WorldNpc00039	1		hunter50202_1	1			1																																	
9048	monv042400	7		hunter50205	1																																				
9049	bossv040300	1		hunter50207	1																																				
9050	monrv041500	3		hunter50211	1		1																																		
9051	monv041700	6		hunter50213	1																																				
9052	WorldNpc09622	1		hunter50222	17			1																																	
9053	monv043400	6		hunter50226	1																																				
9055	monf042500	6		hunter50244	21																																				
9056	monrm055400	4		hunter50257	9		1																																		
9057	WorldNpc02255	1		hunter50260	9			1																																	
9058	WorldNpc02223	1		hunter50269	9			1																																	
9059	WorldNpc02256	1		hunter50272	9			1																																	
9060	WorldNpc05805	1		hunter50277	21			1																																	
9061	monf043100	6		hunter50283	21																																				
9062	WorldNpc10020	1		hunter50295	16			1																																	
9063	WorldNpc10022	1		hunter50297	16			1																																	
