STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING																														
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID																														
10001	WorldNpc02610	1		hunter40013	10			1																																	
10002	monrm064800	3		hunter40015	10		1																																		
10003	WorldNpc02684	1		hunter40028	10			1																																	
10004	monrm062900	3		hunter40098	10		1																																		
10005	WorldNpc02688	1		hunter40099	10			1																																	
10006	monrm063000	3		hunter40111	17		1																																		
10007	monrm063100	6		hunter40122_1	14		1																																		
10008	WorldNpc01613	1		hunter40122_2	14			1																																	
10009	monrm063200	1		hunter40124	14		1																																		
10010	WorldNpc01614	1		hunter40133	14			1																																	
10011	monrm063200	3		hunter40135	10		1																																		
10012	WorldNpc02629	1		hunter40054	10			1																																	
10013	bossm060100	1		hunter40064	10																																				
10014	WorldNpc02691	1		hunter40074_1	10			1																																	
10015	monrm063500	3		hunter40074_2	10		1																																		
10016	WorldNpc02689	1		hunter40077	10			1																																	
10017	WorldNpc02688	1		hunter40109	10			1																																	
10018	monrm064200	2		hunter40055	10		1																																		
10019	monm060300	15		hunter40063	10		1																																		
10020	monrm063500	1		hunter40074	10		1																																		
10021	monrm064400	4		hunter40075	10		1																																		
10022	monrm064300	3		hunter40077	10		1																																		
10023	monrm064500	3		hunter40085	10		1																																		
10024	WorldNpc02626	1		hunter40089	10			1																																	
10025	WorldNpc02629	1		hunter40145	10			1																																	
10026	WorldNpc09801	1		hunter40158	10			1																																	
10027	monrm064900	3		hunter40164	10		1																																		
10028	WorldNpc02629	1		hunter40173	10			1																																	
10029	WorldNpc02628	1		hunter40184	10			1																																	
10030	monrm065000	3		hunter40185	10		1																																		
10185	monrm064100	3		hunter40242	10		1																																		
10186	WorldNpc02704	1		hunter40246	10			1																																	
10187	WorldNpc05807	1		hunter40255	21			1																																	
10188	WorldNpc05807	1		hunter40258	21			1																																	
10189	monf043400	6		hunter40266	21																																				
10190	monrf041100	1		hunter40267	21		1																																		
10191	monrm063900	3		hunter40278	10		1																																		
10192	monrm064000	3		hunter40279	10		1																																		
10200	WorldNpc09795	1		hunter40291	17			1																																	
10201	WorldNpc09798	1		hunter40294	17			1																																	
10202	WorldNpc09956	1		hunter40300_1	17			1																																	
10203	monrc053500	5		hunter40300_2	17		1																																		
10204	monc052300	10		hunter40303	17																																				
10205	WorldNpc09957	1		hunter40304	17			1																																	
10206	WorldNpc09958	1		hunter40307_1	17			1																																	
10208	WorldNpc09961	1		hunter40308	17			1																																	
10209	WorldNpc09959	1		hunter40310	17			1																																	
10210	monrc053600	1		hunter40319	17		1																																		
10211	monrf033400	10		hunter40340	20		1																																		
10212	monf032600	10		hunter40341_1	20																																				
10213	WorldNpc06644	1		hunter40341_2	20			1																																	
10214	WorldNpc11002	1		hunter40345	13			1																																	
10215	monrc030200	1		hunter40346	13		1																																		
10216	WorldNpc11004	1		hunter40347	13			1																																	
10217	monrc030300	4		hunter40348	13		1																																		
10218	monrc030400	5		hunter40349	13		1																																		
10219	monrc030500	5		hunter40350	13		1																																		
10220	monrc030600	10		hunter40352	13		1																																		
10221	WorldNpc11008	1		hunter40353	13			1																																	
10222	WorldNpc10048	1		hunter40354	16			1																																	
10223	monrc043400	2		hunter40359	16		1																																		
10224	Summon00151	3		hunter40360	16		1																																		
10250	WorldNpc02656	1		hunter40386	10			1																																	
10251	monc022100	5		hunter40398	13																																				
10252	monrc025002	3		hunter40399	13		1																																		
10253	WorldNpc08945	1		hunter40410	13			1																																	
10255	monrc025003	3		hunter40422	13		1																																		
10256	monrc025004	4		hunter40425	13		1																																		
10300	WorldNpc02715	1		hunter40434	10			1																																	
10301	WorldNpc02626	1		hunter40438	10			1																																	
10302	monrm065100	3		hunter40440	10		1																																		
10303	monrc010700	4		hunter40448	14		1																																		
10304	WorldNpc01443	1		hunter40454	14			1																																	
10305	WorldNpc01438	1		hunter40461	14			1																																	
10306	monc014500	10		hunter40463_1	14																																				
10307	monrc010800	1		hunter40463_2	14		1																																		
10308	monrm065100	4		hunter40470	10		1																																		
10309	monrm065200	5		hunter40474	10		1																																		
