STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
40001	interact	10001	1
40001	interact	10002	2
40001	interact	10003	3
40001	interact	10004	4
40002	collect	10001	
40002	collect	10002	
40003	story	10001	1
40003	useitem	10001	2
40003	question	10001	3
40004	interact	10005	1
40004	convoy	10001	2
40005	interact	10006	1
40005	convoy	10002	2
40005	story	10002	3
40006	convoy	10003	1
40006	story	10003	2
40013	story	10004	1
40013	hunter	10001	2
40014	question	10002	1
40014	story	10005	2
40015	story	10006	1
40015	hunter	10002	2
40016	interact	10007	1
40016	useitem	10002	2
40016	useitem	10003	3
40017	interact	10008	1
40017	interact	10009	2
40018	convoy	10004	1
40018	story	10007	2
40025	collect	10003	
40026	interact	10010	1
40026	useitem	10004	2
40026	interact	10011	3
40026	story	10008	4
40027	interact	10012	1
40027	interact	10013	2
40027	interact	10014	3
40028	story	10009	1
40028	useitem	10005	2
40028	story	10010	3
40028	hunter	10003	4
40029	interact	10015	1
40029	useitem	10006	2
40029	interact	10016	3
40037	story	10011	
40038	story	10012	1
40038	interact	10017	2
40038	interact	10018	2
40038	interact	10019	2
40039	interact	10020	1
40039	story	10013	2
40039	interact	10021	3
40039	useitem	10007	4
40040	story	10014	
40041	interact	10022	1
40041	useitem	10008	2
40042	convoy	10005	1
40042	convoy	10006	2
40050	collect	10008	1
40052	collect	10009	1
40052	collect	10010	2
40052	interact	10067	3
40053	interact	10068	1
40055	hunter	10018	1
40061	interact	10069	1
40061	interact	10070	2
40061	interact	10071	3
40061	interact	10072	4
40063	collect	10011	1
40063	hunter	10019	2
40065	interact	10073	1
40074	hunter	10020	1
40075	hunter	10021	1
40075	collect	10013	2
40077	hunter	10022	1
40078	interact	10074	1
40078	interact	10075	2
40078	interact	10076	3
40085	hunter	10023	1
40087	interact	10077	1
40087	interact	10078	2
40089	hunter	10024	1
40090	interact	10079	1
40097	interact	10023	1
40097	interact	10024	2
40097	interact	10025	3
40098	interact	10026	1
40098	hunter	10004	2
40098	interact	10027	3
40098	collect	10004	4
40099	hunter	10005	1
40099	story	10015	2
40100	interact	10028	1
40100	convoy	10007	2
40100	convoy	10008	3
40109	story	10016	1
40109	interact	10029	2
40109	hunter	10017	3
40109	interact	10043	4
40111	story	10017	1
40111	interact	10030	2
40111	hunter	10006	3
40112	story	10018	1
40112	convoy	10009	2
40112	interact	10031	3
40113	interact	10032	1
40113	interact	10033	2
40121	interact	10034	1
40121	useitem	10009	2
40121	interact	10035	3
40121	convoy	10010	4
40122	interact	10036	1
40122	hunter	10007	2
40122	interact	10037	3
40122	hunter	10008	4
40123	story	10019	
40124	hunter	10009	1
40124	interact	10044	2
40124	convoy	10011	3
40125	convoy	10012	
40133	hunter	10010	1
40133	interact	10038	2
40133	story	10020	3
40134	interact	10039	1
40134	convoy	10013	2
40135	interact	10040	1
40135	hunter	10011	2
40135	interact	10041	3
40135	convoy	10014	4
40136	interact	10042	1
40136	collect	10006	2
40145	hunter	10025	1
40145	interact	10080	1
40146	interact	10081	1
40146	collect	10014	2
40148	interact	10082	1
40149	interact	10083	1
40149	interact	10084	2
40158	hunter	10026	1
40159	interact	10085	1
