STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
48001	interact	8001	1
48001	story	8001	2
48001	hunter	8001	3
48001	convoy	8001	4
48002	interact	8010	1
48002	interact	8002	2
48002	story	8002	3
48002	hunter	8002	4
48004	hunter	8003	1
48006	collect	8001	1
48008	interact	8011	1
48008	interact	8003	2
48008	story	8003	3
48008	hunter	8004	4
48009	interact	8004	1
48009	collect	8002	2
48011	useitem	8001	1
48012	interact	8005	1
48012	hunter	8005	2
48012	collect	8003	3
48014	hunter	8006	1
48016	hunter	8007	1
48017	hunter	8008	1
48018	interact	8006	1
48018	useitem	8002	2
48018	story	8004	3
48018	convoy	8002	4
48020	collect	8004	1
48021	interact	8008	1
48022	hunter	8009	0
48022	hunter	8010	0
48024	story	8005	1
48025	collect	8005	1
48027	hunter	8011	1
48029	hunter	8012	1
48030	collect	8006	1
48030	interact	8009	2
48030	story	8006	3
48032	hunter	8013	1
48033	useitem	8003	1
48036	hunter	8014	1
48038	convoy	8003	1
48040	collect	8007	1
48040	hunter	8015	2
48043	interact	8012	1
48043	interact	8013	2
48044	hunter	8016	1
48045	useitem	8004	1
48046	convoy	8004	1
48047	interact	8014	1
48047	interact	8015	2
48047	useitem	8005	3
48047	interact	8016	4
48049	collect	8008	1
48049	hunter	8017	2
48052	hunter	8018	1
48053	convoy	8005	1
48054	hunter	8019	1
48056	collect	8009	1
48058	useitem	8006	1
48059	interact	8017	1
48059	interact	8018	2
48059	hunter	8020	3
48061	story	8008	1
48063	useitem	8007	1
48064	hunter	8021	1
48066	story	8009	1
48067	useitem	8008	1
48067	collect	8010	2
48067	hunter	8022	3
48071	story	8010	1
48072	hunter	8023	1
48072	interact	8020	2
48074	collect	8011	1
48075	hunter	8024	1
48076	story	8011	1
48076	interact	8021	2
48076	convoy	8006	3
48079	hunter	8025	1
48080	interact	8022	1
48080	interact	8023	2
48081	convoy	8007	1
48081	interact	8024	2
48081	interact	8025	3
48084	story	8017	1
48086	convoy	8011	1
48088	collect	8018	1
48089	interact	8027	1
48089	interact	8028	2
48090	hunter	8041	1
48091	interact	8029	1
48091	interact	8030	2
48092	collect	8019	1
48092	hunter	8042	2
48092	hunter	8043	3
48092	hunter	8044	3
48096	useitem	8014	1
48097	interact	8031	1
48097	collect	8020	2
48099	interact	8032	3
48099	interact	8034	4
48100	story	8018	1
48101	hunter	8045	1
48103	hunter	8046	1
48104	convoy	8012	1
48105	collect	8021	1
48105	hunter	8047	2
48108	interact	8034	1
48108	interact	8035	2
48109	story	8019	1
48109	hunter	8048	2
48111	collect	8022	1
48112	useitem	8015	1
48113	interact	8036	1
48113	hunter	8049	1
48115	story	8020	1
48116	collect	8023	1
48117	interact	8037	1
48117	interact	8038	2
48118	convoy	8013	1
48120	interact	8039	1
48120	hunter	8050	2
48123	convoy	8014	1
48124	hunter	8052	1
48126	convoy	8015	1
48127	hunter	8053	1
48128	story	8021	2
48130	hunter	8054	1
48131	convoy	8016	1
48134	hunter	8026	1
48134	story	8012	2
48134	interact	8026	3
48137	convoy	8008	1
48138	useitem	8009	1
48139	hunter	8027	1
48141	collect	8012	1
48143	hunter	8028	1
48143	story	8013	2
48145	hunter	8029	1
48147	collect	8013	1
48148	useitem	8010	1
48150	hunter	8030	1
48150	story	8014	2
48153	hunter	8031	1
48155	hunter	8032	0
48155	hunter	8033	0
48156	collect	8014	1
48158	hunter	8034	1
48159	convoy	8009	1
48160	hunter	8035	1
48162	hunter	8036	1
48164	hunter	8037	1
48164	collect	8015	2
48164	useitem	8011	3
48167	story	8015	1
48169	hunter	8038	1
48172	useitem	8012	1
48173	convoy	8010	1
48174	hunter	8039	1
48174	story	8016	2
48177	hunter	8040	1
48179	collect	8016	0
48179	collect	8017	0
48180	useitem	8013	1
48183	interact	8040	1
48183	hunter	8055	2
48185	interact	8041	1
48185	hunter	8056	2
48188	collect	8024	1
48189	interact	8042	1
48189	hunter	8057	2
48192	interact	8043	1
48192	story	8022	2
48192	interact	8044	3
48195	collect	8025	1
48196	convoy	8017	1
48197	hunter	8058	1
48198	interact	8045	1
48198	collect	8026	2
48200	convoy	8018	1
48201	interact	8046	1
48201	interact	8047	2
48201	hunter	8059	3
48205	collect	8027	1
48206	useitem	8016	1
48207	interact	8048	1
48207	hunter	8060	2
48210	useitem	8017	1
48210	interact	8049	2
48212	story	8023	1
48212	interact	8050	2
48215	question	8001	1
48216	hunter	8061	1
48219	story	8024	1
48219	interact	8051	2
48222	hunter	8062	1
48223	hunter	8063	1
48227	hunter	8064	1
48228	convoy	8019	1
48229	collect	8028	1
48230	story	8025	1
