STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
46001	interact	7000	1
46001	interact	7001	2
46003	story	7000	1
46004	collect	7000	1
46005	convoy	7000	1
46006	interact	7002	1
46006	interact	7003	2
46007	hunter	7000	1
46008	interact	7004	1
46008	interact	7005	2
46009	story	7001	1
46012	hunter	7001	1
46013	hunter	7002	1
46014	story	7002	1
46015	hunter	7003	1
46017	story	7003	1
46019	interact	7006	1
46020	interact	7007	1
46020	interact	7008	2
46021	hunter	7004	1
46024	convoy	7001	1
46025	story	7004	1
46027	useitem	7000	1
46028	hunter	7005	1
46029	story	7005	1
46031	convoy	7002	1
46032	story	7006	1
46034	hunter	7006	1
46035	hunter	7007	1
46038	collect	7001	1
46039	useitem	7001	1
46039	useitem	7002	2
46040	interact	7009	1
46041	story	7007	1
46042	interact	7010	1
46042	interact	7011	2
46043	hunter	7008	1
46044	convoy	7003	1
46045	interact	7012	1
46045	interact	7013	2
46046	useitem	7003	1
46048	story	7008	1
46049	story	7009	1
46051	interact	7014	1
46052	story	7010	1
46053	collect	7002	1
46054	interact	7015	1
46055	hunter	7009	1
46056	story	7011	1
46057	hunter	7010	1
46060	useitem	7004	1
46062	story	7012	1
46063	hunter	7011	1
46064	story	7013	1
46065	collect	7003	1
46068	hunter	7012	1
46070	story	7014	1
46071	hunter	7013	1
46072	collect	7004	1
46073	story	7015	1
46074	convoy	7004	1
46075	story	7016	1
46076	collect	7005	1
46076	collect	7006	2
46078	interact	7016	1
46080	hunter	7014	1
46081	hunter	7015	1
46082	story	7017	1
46085	hunter	7016	1
46086	story	7018	1
46090	hunter	7017	1
46091	convoy	7005	1
46093	hunter	7018	1
46096	convoy	7006	1
46097	interact	7017	1
46097	interact	7018	2
46098	story	7019	1
46099	interact	7019	1
46100	hunter	7019	1
46101	collect	7007	1
46102	useitem	7005	1
46105	hunter	7020	1
46106	convoy	7007	1
46107	collect	7008	1
46108	convoy	7008	1
46109	interact	7020	1
46110	useitem	7006	1
46112	convoy	7009	1
46113	hunter	7021	1
46114	story	7020	1
46115	interact	7021	1
46116	hunter	7022	1
46117	story	7021	1
46118	convoy	7010	1
46120	hunter	7023	1
46121	hunter	7024	1
46122	hunter	7025	1
46125	story	7022	1
46127	hunter	7026	1
46128	interact	7022	1
46129	interact	7023	1
46129	interact	7024	2
46131	interact	7025	1
46133	hunter	7027	1
46135	story	7023	1
46136	collect	7009	1
46138	story	7024	1
46141	hunter	7028	1
46143	convoy	7011	1
46144	story	7025	1
46146	convoy	7012	1
46148	story	7026	1
46149	convoy	7013	1
46151	story	7027	1
46152	hunter	7029	1
46153	hunter	7030	1
46154	convoy	7014	1
46155	hunter	7031	1
46156	story	7028	1
46157	convoy	7015	1
46158	story	7029	1
46159	interact	7026	1
46159	interact	7027	2
46160	hunter	7032	1
46162	hunter	7033	1
46163	hunter	7034	1
46164	convoy	7016	1
46165	hunter	7035	1
46167	convoy	7017	1
46169	interact	7028	1
46170	interact	7029	1
46171	convoy	7018	1
46172	story	7030	1
46173	interact	7030	1
46174	hunter	7036	1
46176	story	7031	1
46177	interact	7031	1
46178	hunter	7037	1
46180	collect	7010	1
46181	useitem	7007	1
46183	convoy	7019	1
46186	hunter	7038	1
46187	interact	7032	1
46188	hunter	7039	1
46189	story	7032	1
46190	hunter	7040	1
46191	story	7033	1
46193	hunter	7041	1
46194	interact	7033	1
46195	story	7034	1
46196	convoy	7020	1
46197	story	7035	1
46198	hunter	7042	1
46199	convoy	7021	1
46200	story	7036	1
46201	hunter	7043	1
46202	hunter	7044	1
46203	interact	7034	1
46204	collect	7011	1
46206	collect	7012	1
46207	convoy	7022	1
46208	story	7037	1
46209	interact	7035	1
46209	convoy	7023	2
46210	story	7038	1
46211	collect	7013	1
46212	collect	7014	1
46213	story	7039	1
46215	story	7040	1
46217	hunter	7045	1
46218	convoy	7024	1
46219	convoy	7025	1
46220	hunter	7046	1
46221	story	7041	1
46223	story	7042	1
46224	interact	7036	1
46224	convoy	7026	2
46226	story	7043	1
46291	story	7200	1
46292	hunter	7200	1
46294	interact	7200	1
46294	collect	7200	2
46296	interact	7201	1
46296	useitem	7200	2
46298	hunter	7201	1
46300	hunter	7202	1
46304	interact	7202	1
46304	interact	7203	2
46304	collect	7201	3
46306	interact	7204	1
46306	convoy	7200	2
46307	hunter	7203	1
46309	hunter	7204	1
46311	interact	7205	1
46314	interact	7206	1
46315	collect	7202	1
46316	hunter	7205	1
46319	interact	7207	2
46319	hunter	7206	1
46320	hunter	7207	1
46320	interact	7208	2
46324	hunter	7208	1
46327	collect	7203	1
46328	useitem	7201	1
46328	useitem	7202	1
46328	interact	7211	2
46328	hunter	7209	3
46334	interact	7209	1
46334	hunter	7210	2
46338	story	7201	1
46338	interact	7210	2
46340	interact	7229	1
46340	useitem	7203	2
46340	story	7203	3
46340	hunter	7211	4
46344	interact	7212	1
46344	hunter	7212	2
46344	story	7204	3
46344	interact	7213	4
46350	hunter	7213	1
46350	interact	7217	2
46350	interact	7214	3
46350	collect	7204	4
46355	interact	7215	1
46355	hunter	7214	2
46355	interact	7216	3
46355	collect	7205	4
46361	story	7205	1
46361	interact	7218	2
46363	interact	7219	1
46363	hunter	7215	2
46363	story	7206	3
46363	interact	7220	4
46367	interact	7221	1
46367	interact	7222	2
46367	useitem	7204	3
46367	hunter	7216	4
46373	interact	7224	1
46373	hunter	7217	2
46373	interact	7225	3
46373	interact	7226	4
46376	collect	7206	1
46378	story	7208	1
46378	interact	7227	2
46381	hunter	7218	1
46381	interact	7228	2
46386	story	7209	1
46388	hunter	7219	1
46391	story	7210	1
46391	hunter	7220	2
46393	interact	7230	1
46394	interact	7232	1
46394	collect	7207	2
46398	interact	7233	1
46398	hunter	7221	2
46403	hunter	7222	1
46406	interact	7234	1
46406	collect	7208	2
46408	hunter	7223	1
46410	story	7211	1
46410	interact	7235	2
46410	useitem	7205	3
46414	hunter	7224	1
46417	hunter	7225	1
46420	hunter	7226	1
46422	story	7212	1
46422	collect	7209	2
46425	hunter	7227	1
46428	story	7213	1
46428	interact	7236	2
46428	hunter	7228	3
46434	story	7214	1
46436	interact	7237	1
46436	story	7215	2
46439	hunter	7229	1
46439	hunter	7230	2
46439	hunter	7231	3
46443	useitem	7206	1
46445	hunter	7232	1
46447	story	7216	1
46451	hunter	7233	1
46452	story	7217	1
46453	hunter	7234	1
46455	story	7218	1
46457	useitem	7207	1
46461	story	7219	1
46461	hunter	7235	2
46461	interact	7238	3
46464	hunter	7236	1
46464	story	7220	2
46464	hunter	7237	3
46469	story	7221	1
46471	story	7222	1
46471	hunter	7238	2
46471	story	7223	3
46471	interact	7239	4
46477	hunter	7239	1
46478	interact	7240	1
46478	useitem	7208	2
