STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
42001	interact	5001	1
42001	interact	5002	2
42001	interact	5003	3
42001	interact	5034	4
42004	convoy	5001	1
42005	collect	5001	1
42006	interact	5031	1
42006	interact	5032	1
42006	interact	5033	1
42007	convoy	5002	1
42007	interact	5004	2
42009	convoy	5003	1
42011	interact	5006	1
42013	interact	5007	1
42013	interact	5008	2
42013	hunter	5001	3
42013	interact	5009	4
42017	interact	5010	1
42018	convoy	5004	1
42019	convoy	5005	1
42020	interact	5011	1
42021	story	5001	
42022	interact	5012	1
42022	hunter	5002	2
42022	interact	5013	3
42025	interact	5014	1
42025	interact	5015	2
42025	interact	5016	2
42025	interact	5017	2
42028	collect	5002	1
42029	collect	5003	1
42030	interact	5018	1
42031	interact	5019	1
42031	interact	5020	2
42032	hunter	5003	1
42032	interact	5022	2
42032	hunter	5004	3
42034	interact	5023	1
42034	convoy	5006	2
42034	hunter	5006	3
42034	interact	5024	4
42037	collect	5004	1
42038	collect	5005	1
42039	collect	5006	1
42040	interact	5025	1
42040	interact	5035	2
42040	convoy	5007	3
42042	collect	5007	1
42043	interact	5026	1
42043	interact	5027	2
42045	interact	5028	1
42045	interact	5029	2
42045	hunter	5005	3
42045	interact	5030	4
42049	interact	5036	1
42052	hunter	5007	1
42055	collect	5008	1
42057	convoy	5008	1
42058	convoy	5009	1
42061	hunter	5008	1
42063	convoy	5010	1
42066	convoy	5011	1
42069	convoy	5012	1
42071	useitem	5001	1
42072	convoy	5013	1
42074	useitem	5002	1
42076	hunter	5010	1
42079	collect	5009	1
42080	hunter	5011	1
42081	convoy	5014	1
42081	collect	5010	2
42085	collect	5011	1
42087	hunter	5012	1
42090	interact	5037	1
42091	hunter	5013	1
42094	hunter	5014	1
