STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
36001	interact	11048	1
36002	hunter	11001	1
36002	interact	11046	2
36004	useitem	11001	1
36004	interact	11047	2
36006	story	11001	1
36007	question	11001	1
36011	story	11002	1
36013	convoy	11001	1
36013	hunter	11002	2
36016	hunter	11003	1
36019	hunter	11004	1
36020	hunter	11005	1
36021	story	11004	1
36022	interact	11049	1
36023	interact	11050	1
36023	convoy	11002	2
36026	useitem	11002	1
36027	useitem	11003	1
36028	hunter	11006	1
36029	hunter	11007	0
36029	hunter	11008	0
36031	story	11005	1
36032	interact	11001	1
36034	convoy	11003	1
36035	useitem	11004	1
36035	useitem	11005	0
36035	useitem	11006	0
36037	story	11006	1
36040	interact	11051	1
36043	hunter	11010	1
36043	interact	11055	2
36047	hunter	11011	1
36047	collect	11001	1
36048	story	11007	1
36049	story	11008	1
36052	hunter	11012	1
36053	hunter	11013	1
36054	interact	11002	1
36054	interact	11003	1
36056	collect	11002	1
36057	story	11009	1
36060	useitem	11008	1
36063	hunter	11014	1
36065	story	11010	1
36067	hunter	11015	1
36071	interact	11004	0
36071	interact	11005	0
36072	interact	11056	
36075	hunter	11016	1
36076	convoy	11050	1
36077	hunter	11135	1
36078	hunter	11134	1
36081	hunter	11136	1
36082	hunter	11139	
36083	hunter	11018	1
36085	story	11011	1
36086	interact	11052	1
36086	interact	11053	2
36086	interact	11054	3
36086	hunter	11137	4
36089	hunter	11138	1
36097	story	11012	1
36099	hunter	11022	1
36101	collect	11003	1
36102	useitem	11010	1
36107	hunter	11023	1
36108	story	11013	1
36110	convoy	11007	1
36110	interact	11057	2
36110	interact	11058	3
36113	useitem	11011	1
36113	hunter	11024	2
36113	hunter	11025	3
36118	interact	11059	1
36118	interact	11060	2
36121	interact	11009	1
36121	interact	11010	2
36122	hunter	11026	1
36124	useitem	11013	1
36125	hunter	11027	1
36126	collect	11004	1
36127	collect	11005	1
36128	convoy	11008	1
36130	useitem	11014	1
36131	story	11014	1
36132	convoy	11009	1
36134	collect	11006	1
36135	story	11015	1
36137	story	11016	1
36139	hunter	11028	1
36141	hunter	11029	1
36142	hunter	11030	1
36145	story	11017	1
36145	interact	11061	2
36146	interact	11011	1
36148	question	11002	1
36148	interact	11063	2
36150	convoy	11051	1
36151	story	11018	1
36154	interact	11062	1
36156	collect	11007	1
36158	hunter	11032	1
36160	hunter	11033	1
36163	story	11019	1
36164	interact	11064	1
36164	hunter	11034	2
36167	hunter	11035	1
36171	useitem	11015	1
36172	story	11020	1
36174	question	11003	1
36178	hunter	11037	1
36179	useitem	11016	1
36180	hunter	11140	1
36183	hunter	11141	1
36185	hunter	11142	1
36186	convoy	11052	1
36187	story	11021	1
36189	hunter	11143	1
36192	interact	11065	2
36192	interact	11066	1
36194	hunter	11042	1
36195	convoy	11013	1
36197	hunter	11043	1
36198	interact	11013	1
36199	story	11022	1
36201	collect	11011	1
36203	hunter	11044	1
36206	story	11023	1
36207	convoy	11015	1
36208	interact	11014	1
36209	hunter	11045	1
36210	story	11024	1
36211	convoy	11016	1
36213	hunter	11046	1
36214	hunter	11047	1
36215	collect	11012	1
36216	useitem	11019	1
36217	hunter	11048	1
36219	hunter	11049	1
36220	convoy	11017	1
36221	collect	11013	1
36222	story	11025	1
36223	useitem	11020	1
36224	hunter	11050	1
36225	story	11026	1
36227	collect	11014	1
36228	useitem	11021	1
36229	story	11027	1
36231	useitem	11022	1
36233	hunter	11051	1
36234	story	11028	1
36236	collect	11015	1
36237	hunter	11052	1
36238	hunter	11053	1
36242	story	11029	1
36243	hunter	11054	1
36244	interact	11015	1
36245	collect	11016	1
36247	hunter	11055	1
36248	collect	11017	1
36250	story	11030	1
36252	convoy	11053	1
36253	interact	11016	1
36254	hunter	11057	1
36255	interact	11017	1
36257	hunter	11058	1
36258	convoy	11019	1
36259	hunter	11059	1
36260	story	11031	1
36261	collect	11018	1
36262	convoy	11020	1
36264	interact	11018	1
36265	hunter	11060	1
36266	collect	11019	1
36269	hunter	11061	1
36270	story	11032	1
36272	hunter	11062	1
36275	hunter	11063	1
36276	story	11033	1
36281	hunter	11065	1
