STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
38001	interact	12118	1
38001	hunter	12001	2
38001	interact	12094	3
38003	interact	12001	1
38004	interact	12095	1
38004	collect	12001	2
38006	interact	12002	1
38006	interact	12096	2
38006	interact	12097	3
38008	interact	12098	1
38008	convoy	12001	2
38009	collect	12002	1
38011	useitem	12001	1
38012	convoy	12002	1
38012	interact	12003	2
38012	interact	12004	3
38015	convoy	12003	1
38015	interact	12099	3
38015	interact	12110	2
38018	collect	12003	0
38019	interact	12100	1
38019	convoy	12004	2
38022	hunter	12002	1
38022	convoy	12005	3
38022	interact	12119	2
38025	interact	12103	1
38025	convoy	12006	2
38027	interact	12104	1
38027	collect	12004	2
38029	hunter	12003	1
38029	interact	12111	2
38032	hunter	12004	1
38034	interact	12107	1
38034	collect	12005	2
38036	interact	12108	1
38037	interact	12109	1
38037	collect	12006	2
38039	useitem	12002	1
38039	interact	12112	2
38041	interact	12113	1
38042	useitem	12003	1
38042	interact	12114	2
38043	interact	12115	1
38043	useitem	12004	2
38043	interact	12116	3
38045	interact	12117	1
38045	interact	12120	2
38045	convoy	12007	3
38047	interact	12005	0
38047	interact	12006	0
38047	interact	12007	0
38047	interact	12008	0
38048	interact	12009	0
38048	interact	12010	0
38048	interact	12011	0
38049	interact	12122	1
38049	story	12001	2
38050	interact	12123	1
38050	interact	12124	2
38053	convoy	12008	1
38054	useitem	12005	1
38054	interact	12125	2
38054	story	12002	3
38056	interact	12126	1
38058	useitem	12006	1
38059	collect	12007	1
38060	collect	12008	1
38060	useitem	12007	0
38061	interact	12127	1
38061	interact	12128	2
38061	hunter	12005	3
38061	interact	12130	4
38065	interact	12101	1
38066	hunter	12006	1
38066	interact	12132	2
38066	convoy	12009	3
38066	interact	12192	4
38068	interact	12133	1
38070	interact	12134	1
38070	hunter	12007	2
38070	interact	12135	3
38074	interact	12136	1
38074	collect	12009	2
38076	interact	12137	1
38076	interact	12138	2
38076	hunter	12008	3
38076	interact	12139	4
38079	interact	12140	1
38079	hunter	12009	2
38081	collect	12010	1
38083	collect	12011	0
38083	useitem	12008	0
38084	interact	12012	1
38084	interact	12013	2
38085	interact	12141	1
38085	collect	12012	2
38087	interact	12142	1
38087	interact	12143	2
38087	interact	12148	3
38089	useitem	12009	1
38090	interact	12144	1
38090	collect	12013	2
38092	hunter	12010	1
38092	interact	12146	2
38092	hunter	12011	3
38095	interact	12147	1
38097	interact	12149	1
38098	collect	12014	1
38099	interact	12150	1
38099	story	12003	2
38101	interact	12151	1
38101	hunter	12012	2
38105	interact	12014	1
38106	collect	12015	1
38108	interact	12153	1
38109	interact	12154	1
38110	collect	12016	1
38111	interact	12015	1
38111	interact	12016	2
38112	interact	12155	1
38112	collect	12017	2
38114	interact	12156	1
38114	interact	12157	2
38114	story	12005	3
38116	hunter	12013	1
38116	interact	12159	2
38118	interact	12160	1
38118	hunter	12101	2
38118	interact	12225	3
