STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
22002	question	3003	1
22003	interact	3006	1
22003	story	3006	2
22007	interact	3007	1
22007	interact	3008	2
22008	interact	3009	1
22009	hunter	3008	1
22009	collect	3012	2
22011	useitem	3001	1
22013	interact	3010	1
22014	convoy	3001	1
22015	interact	3011	1
22015	useitem	3002	2
22017	hunter	3009	1
22017	hunter	3010	2
22019	convoy	3002	1
22019	interact	3012	2
22020	interact	3011	2
22021	interact	3013	1
22021	hunter	3011	2
22023	collect	3013	1
22024	interact	3014	1
22024	interact	3015	2
22024	interact	3016	3
22027	collect	3014	1
22028	useitem	3003	1
22028	hunter	3012	2
22030	story	3008	1
22031	convoy	3003	1
22032	hunter	3013	1
22033	question	3004	1
22034	story	3009	1
22035	hunter	3014	1
22038	story	3010	1
22039	interact	3017	1
22039	hunter	3015	2
22041	interact	3018	1
22041	hunter	3007	2
22041	convoy	3004	3
22044	convoy	3005	1
22046	interact	3033	1
22047	question	3005	1
22050	story	3011	1
22051	interact	3019	1
22051	hunter	3017	2
22053	story	3012	1
22054	interact	3020	1
22054	collect	3015	2
22056	hunter	3018	1
22056	question	3006	2
22058	interact	3021	1
22058	hunter	3019	2
22060	hunter	3020	1
22061	interact	3022	1
22061	story	3013	2
22063	interact	3023	1
22063	collect	3016	2
22065	interact	3024	1
22065	question	3007	2
22065	collect	3017	3
22068	interact	3025	1
22068	collect	3018	2
22070	interact	3026	1
22070	useitem	3004	2
22072	interact	3027	1
22073	hunter	3021	1
22073	hunter	3022	2
22075	interact	3028	1
22075	useitem	3005	2
22075	convoy	3007	3
22079	hunter	3023	1
22080	story	3014	1
22081	interact	3029	1
22081	collect	3019	2
22083	useitem	3006	1
22084	question	3008	1
22085	interact	3030	1
22086	convoy	3008	1
22086	interact	3031	2
22088	collect	3020	1
22089	hunter	3024	1
22089	collect	3021	2
22091	interact	3032	1
22092	useitem	3007	1
22093	convoy	3009	1
22095	story	3015	1
22097	interact	3034	1
22097	collect	3022	2
22099	convoy	3010	1
22100	interact	3035	1
22100	hunter	3025	2
22100	collect	3023	3
22104	hunter	3026	1
22104	hunter	3027	2
22104	collect	3024	3
22107	interact	3036	1
22107	interact	3037	2
22107	useitem	3008	3
22110	story	3016	1
22111	hunter	3028	1
22111	interact	3038	2
22113	collect	3025	1
22114	story	3017	1
22115	interact	3039	1
22115	collect	3026	2
22117	useitem	3009	1
22117	useitem	3010	2
22119	useitem	3011	1
22120	story	3018	1
22121	hunter	3029	1
22122	interact	3040	1
22123	hunter	3031	1
22123	interact	3041	2
22123	hunter	3030	3
22126	interact	3042	1
22126	hunter	3032	2
22126	hunter	3033	2
22128	interact	3043	1
22128	hunter	3034	2
22130	useitem	3012	1
22130	story	3019	2
22132	interact	3044	1
22133	collect	3027	1
22134	useitem	3013	1
22135	story	3020	1
22136	interact	3045	1
22136	hunter	3035	2
22138	question	3009	1
22138	hunter	3036	2
22141	interact	3047	1
22142	hunter	3037	1
22142	interact	3048	1
22145	interact	3049	1
22145	story	3022	2
22146	interact	3050	1
22146	collect	3029	2
22146	collect	3030	2
22147	interact	3051	1
22147	hunter	3038	2
22148	interact	3052	1
22148	interact	3053	2
22149	interact	3054	1
22149	hunter	3039	2
22150	convoy	3011	1
22151	interact	3055	1
22151	story	3023	2
22153	collect	3031	1
22154	story	3024	1
22155	interact	3057	1
22155	hunter	3040	2
22156	interact	3058	1
22156	collect	3032	2
22157	interact	3059	1
22158	interact	3060	1
22158	hunter	3041	2
22159	interact	3061	1
22159	story	3025	2
22160	interact	3062	1
22160	story	3026	2
22161	hunter	3042	1
22161	story	3027	2
22162	hunter	3043	1
22163	hunter	3044	1
22164	interact	3063	1
22164	useitem	3014	2
22165	interact	3064	1
22165	hunter	3045	2
22165	story	3028	3
22167	collect	3033	1
22167	convoy	3012	2
22168	collect	3034	1
22169	useitem	3015	1
22170	interact	3065	1
22170	interact	3066	2
22170	hunter	3046	3
22171	convoy	3013	1
