STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
44001			
44092	#REF!	6014	
44092	#REF!	6013	
44093	#REF!	6020	1
44093	#REF!	6028	2
44097	#REF!	6021	1
44097	#REF!	6003	2
44098	#REF!	6030	1
44098	#REF!	6002	2
44099	#REF!	6031	
44100	#REF!	6005	
44101	#REF!	6033	
44102	#REF!	6022	1
44102	#REF!	6024	2
44103	#REF!	6035	1
44103	#REF!	6023	2
44110	#REF!	6006	1
44110	#REF!	6011	2
44111	#REF!	6024	
44112	#REF!	6013	
44113	#REF!	6024	
44114	#REF!	6025	
44116	#REF!	6025	
44117	#REF!	6038	1
44117	#REF!	6026	2
44121	#REF!	6007	
44122	#REF!	6039	1
44122	#REF!	6016	2
44123	#REF!	6040	
44124	#REF!	6014	
44125	#REF!	6042	1
44125	#REF!	6002	2
44125	#REF!	6043	3
44126	#REF!	6008	
44127	#REF!	6027	
44133	#REF!	6045	1
44133	#REF!	6015	2
44133	#REF!	6018	3
44134	#REF!	6028	1
44134	#REF!	6016	2
44137	#REF!	6019	
44138	#REF!	6010	
44139	#REF!	6017	
44290	hunter	6200	1
44291	story	6200	1
44292	interact	6200	1
44292	hunter	6201	2
44292	collect	6200	3
44293	convoy	6200	1
44294	story	6201	1
44294	convoy	6201	2
44294	interact	6201	3
44295	story	6202	1
44295	interact	6202	2
44295	interact	6203	3
44295	interact	6204	4
44296	story	6203	1
44298	hunter	6202	1
44298	hunter	6203	2
44299	story	6204	1
44300	interact	6205	2
44300	useitem	6200	1
44300	interact	6206	4
44302	hunter	6204	1
44303	collect	6202	1
44303	hunter	6205	1
44303	interact	6207	3
44304	interact	6208	1
44305	hunter	6206	1
44305	hunter	6207	1
44306	hunter	6208	1
44308	interact	6212	1
44308	convoy	6202	2
44310	hunter	6210	1
44310	hunter	6211	1
44313	useitem	6201	1
44315	interact	6209	1
44316	collect	6201	1
44317	interact	6211	1
44319	convoy	6204	1
44319	convoy	6205	2
44322	hunter	6209	1
44322	interact	6210	1
