STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
5001	useitem_8h	1	0	1	
5002	taskitem_8h	1	0	1	
5003	taskitem_34h	1	0	1	
5004	useitem_15h	1	0	1	
5007	useitem_23h	1	1	1	
5009	taskitem_25h	1	0	1	
5011	taskitem_19h	1	0	1	
5015	taskitem_19h	1	0	1	
5016	taskitem_19h	1	1	1	
5018	taskitem_22h	1	1	1	
5019	useitem_14h	1	0	1	
5020	taskitem_23h	1	1	1	
5021	useitem_12h	1	1	1	
5022	useitem_12h	1	1	1	
5023	taskitem_16d	1	0	1	
5024	taskitem_20d	1	0	1	
5025	taskitem_17d	1	0	1	
5026	taskitem_18d	1	0	1	
5027	useitem_3d	1	0	1	
5028	taskitem_22d	1	1	1	
5029	taskitem_22d	1	0	1	
5032	taskitem_25d	1	1	1	
5033	taskitem_26d	1	0	1	
5036	taskitem_27d	1	0	1	
5037	useitem_8d	1	1	1	
5038	taskitem_30d	1	0	1	
5040	taskitem_32d	0	1	1	
5041	taskitem_33d	1	0	1	
5046	useitem_1e	0	1	1	
5048	taskitem_3m	1	0	1	
5050	taskitem_17e	1	0	1	
5052	useitem_3e	1	0	1	
5053	taskitem_26e	1	1	1	
5054	taskitem_27e	1	1	1	
5055	taskitem_31e	1	0	1	
5056	useitem_4e	1	0	1	
5058	taskitem_33e	1	1	1	
5060	useitem_8e	1	0	1	
5063	taskitem_39e	1	1	1	
5064	taskitem_1l	1	0	1	
5065	taskitem_2l	1	0	1	
5067	useitem_2l	1	0	1	
5069	taskitem_4l	1	0	3	
5070	useitem_4l	1	0	1	
5071	useitem_5l	1	0	1	
5072	useitem_6l	1	0	1	
5073	taskitem_6l	1	0	1	
5074	taskitem_8l	1	1	1	
5075	taskitem_9l	0	1	1	
5076	useitem_7l	1	0	1	
5077	taskitem_8l	1	1	1	
5080	taskitem_3k	1	1	1	
5081	useitem_2k	1	1	1	
5082	useitem_3k	1	0	1	
5083	useitem_4k	1	0	1	
5084	useitem_5k	1	0	1	
5085	taskitem_13k	1	1	1	
5086	taskitem_5j	1	0	1	
5087	useitem_6j	1	0	1	
5088	useitem_7j	1	0	1	
5089	useitem_8j	1	0	1	
5090	useitem_9j	1	0	1	
5091	useitem_6k	1	0	1	
5092	taskitem_24k	1	0	2	
5093	useitem_7k	1	0	2	
5095	taskitem_19k	1	1	1	
5096	useitem_9k	1	0	1	
5097	taskitem_21k	1	0	1	
5098	useitem_8l	1	0	1	
5099	taskitem_12l	1	1	1	
5100	useitem_9l	1	0	1	
5101	taskitem_16l	1	1	1	
5102	taskitem_17l	1	0	1	
5103	useitem_10l	1	1	1	
5104	useitem_11l	1	0	1	
5105	taskitem_18l	1	0	1	
5106	useitem_12l	1	0	1	
5107	useitem_13l	1	0	1	
5108	taskitem_31j	1	1	1	
5109	taskitem_24j	1	0	1	
5110	taskitem_25j	1	1	1	
5111	useitem_10j	1	0	1	
5112	taskitem_29j	1	0	1	
5113	useitem_11j	1	0	1	
5114	useitem_12h	1	0	1	
5115	taskitem_22d	1	1	1	
5116	taskitem_2m	1	1	1	
5117	taskitem_31d	0	1	1	
5118	taskitem_35d	0	1	1	
5119	taskitem_36d	0	1	1	
5120	taskitem_17e	0	1	1	
5121	taskitem_4m	1	0	1	
5122	taskitem_24e	1	0	1	
5123	taskitem_5m	0	1	1	
5124	taskitem_22h	0	1	1	
5125	taskitem_9k	0	1	1	
5126	taskitem_18h	0	1	1	
5127	taskitem_21d	0	1	1	
5128	taskitem_12e	0	1	1	
5129	taskitem_18j	0	1	1	
5130	taskitem_28j	0	1	1	
