STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
10001	useitem_24h	1	1	1	
10002	useitem_31h	1	0	1	
10003	taskitem_37h	0	1	3	
10004	useitem_28h	1	0	1	
10005	useitem_29h	1	0	1	
10006	taskitem_40h	1	1	1	
10007	taskitem_40h	1	1	1	
10008	taskitem_40h	1	1	1	
10009	taskitem_40h	1	0	1	
10010	taskitem_40h	0	1	1	
10011	taskitem_64d	1	0	1	
10012	taskitem_63d	1	0	1	
10013	taskitem_40h	0	1	1	
10014	taskitem_18m	0	1	1	
10015	taskitem_18m	1	0	1	
10016	taskitem_19m	1	0	1	
10017	useitem_2m	1	0	1	
10018	useitem_3m	1	0	1	
10019	useitem_4m	1	0	1	
10020	useitem_5m	1	0	1	
10021					
10022					
10023					
10024					
10025					
10026					
10027					
10028					
10029					
10030					
10031					
10032					
10033					
10034					
10035					
10036					
10037					
10038					
10039					
10040					
10041					
10042					
10043					
10044					
10045					
10046					
10047					
10048					
10049					
10050					
10051					
10052					
10053					
10054					
10055					
10056					
10057					
10058					
10059					
10060					
10061					
10062					
10063					
10064					
10065					
10066					
10067					
10068					
10069					
10070					
10071					
10072					
10073					
10190	taskitem_10m	1	1	1	
10191	taskitem_10m	1	0	1	
10200	taskitem_66a	1	1	1	
10201	taskitem_67a	1	1	1	
10202	taskitem_72a	1	0	1	
10203	useitem_36a	1	0	1	
10204	taskitem_68a	1	0	1	
10205	taskitem_73a	1	0	10	
10206	taskitem_76a	0	1	1	
10207	useitem_40a	1	0	1	
10208	useitem_38a	1	0	1	
10300	useitem_56b	1	0	1	
10301	taskitem_81b	1	1	1	
10302	taskitem_77b	1	0	1	
10303	useitem_54b	1	0	1	
