STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING														
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID														
10001	WorldNpc02685	story_40003_1	storymenu_40003_1	9607	0	story40003	10															
10001	WorldNpc02685	story_40003_2	storymenu_40003_2	9607	0	story40003	10															
10002	WorldNpc02681	story_40005_1	storymenu_40005_1	9607	0	story40005	10															
10002	WorldNpc02681	story_40005_2	storymenu_40005_2	9607	0	story40005	10															
10003	WorldNpc02680	story_40006_1	storymenu_40006_1	9607	0	story40006	10															
10003	WorldNpc02680	story_40006_2	storymenu_40006_2	9607	0	story40006	10															
10004	WorldNpc02610	story_40013_1	storymenu_40013_1	9607	0	story40013	10															
10004	WorldNpc02610	story_40013_2	storymenu_40013_2	9607	0	story40013	10															
10005	WorldNpc02610	story_40014_1	storymenu_40014_1	9607	0	story40014	10															
10005	WorldNpc02610	story_40014_2	storymenu_40014_2	9607	0	story40014	10															
10006	WorldNpc02920	story_40015_1	storymenu_40015_1	9607	0	story40015	10															
10006	WorldNpc02920	story_40015_2	storymenu_40015_2	9607	0	story40015	10															
10007	WorldNpc02682	story_40018_1	storymenu_40018_1	9607	0	story40018	10															
10007	WorldNpc02682	story_40018_2	storymenu_40018_2	9607	0	story40018	10															
10008	WorldNpc02604	story_40026_1	storymenu_40026_1	9607	0	story40026	10															
10008	WorldNpc02604	story_40026_2	storymenu_40026_2	9607	0	story40026	10															
10009	WorldNpc02684	story_40028_1	storymenu_40028_1	9607	0	story40028_1	10															
10009	WorldNpc02684	story_40028_2	storymenu_40028_2	9607	0	story40028_1	10															
10010	WorldNpc02684	story_40028_3	storymenu_40028_3	9607	0	story40028_2	10															
10010	WorldNpc02684	story_40028_4	storymenu_40028_4	9607	0	story40028_2	10															
10010	WorldNpc02684	story_40028_5	storymenu_40028_5	9607	0	story40028_2	10															
10011	WorldNpc02604	story_40037_1	storymenu_40037_1	9607	0	story40037	10															
10011	WorldNpc02604	story_40037_2	storymenu_40037_2	9607	0	story40037	10															
10012	WorldNpc02610	story_40038_1	storymenu_40038_1	9607	0	story40038	10															
10012	WorldNpc02610	story_40038_2	storymenu_40038_2	9607	0	story40038	10															
10013	WorldNpc02684	story_40039_1	storymenu_40039_1	9607	0	story40039	10															
10013	WorldNpc02684	story_40039_2	storymenu_40039_2	9607	0	story40039	10															
10013	WorldNpc02684	story_40039_3	storymenu_40039_3	9607	0	story40039	10															
10013	WorldNpc02684	story_40039_4	storymenu_40039_4	9607	0	story40039	10															
10014	WorldNpc02684	story_40040_1	storymenu_40040_1	9607	0	story40040	10															
10014	WorldNpc02684	story_40040_2	storymenu_40040_2	9607	0	story40040	10															
10014	WorldNpc02684	story_40040_3	storymenu_40040_3	9607	0	story40040	10															
10015	WorldNpc02688	story_40099_1	storymenu_40099_1	9607	0	story40099	10															
10015	WorldNpc02688	story_40099_2	storymenu_40099_2	9607	0	story40099	10															
10016	WorldNpc02687	story_40109_1	storymenu_40109_1	9607	0	story40109	10															
10016	WorldNpc02687	story_40109_2	storymenu_40109_2	9607	0	story40109	10															
10017	WorldNpc02604	story_40111_1	storymenu_40111_1	9607	0	story40111	10															
10017	WorldNpc02604	story_40111_2	storymenu_40111_2	9607	0	story40111	10															
10017	WorldNpc02604	story_40111_3	storymenu_40111_3	9607	0	story40111	10															
10017	WorldNpc02604	story_40111_4	storymenu_40111_4	9607	0	story40111	10															
10017	WorldNpc02604	story_40111_5	storymenu_40111_5	9607	0	story40111	10															
10018	WorldNpc09601	story_40112_1	storymenu_40112_1	9607	0	story40112	17															
10018	WorldNpc09601	story_40112_2	storymenu_40112_2	9607	0	story40112	17															
10019	WorldNpc01611	story_40123_1	storymenu_40123_1	9607	0	story40123	14															
10019	WorldNpc01611	story_40123_2	storymenu_40123_2	9607	0	story40123	14															
10020	WorldNpc01611	story_40133_1	storymenu_40133_1	9607	0	story40133	14															
10020	WorldNpc01611	story_40133_2	storymenu_40133_2	9607	0	story40133	14															
10021	WorldNpc02689	story_40052_1	storymenu_40052_1	9607	0	story40052	10															
10021	WorldNpc02689	story_40052_2	storymenu_40052_2	9607	0	story40052	10															
10022	WorldNpc02629	story_40054_1	storymenu_40054_1	9607	0	story40054	10															
10022	WorldNpc02629	story_40054_2	storymenu_40054_2	9607	0	story40054	10															
10023	WorldNpc02689	story_40077_1	storymenu_40077_1	9607	0	story40077	10															
10023	WorldNpc02689	story_40077_2	storymenu_40077_2	9607	0	story40077	10															
10024	WorldNpc02626	story_40078_1	storymenu_40078_1	9607	0	story40078	10															
10024	WorldNpc02626	story_40078_2	storymenu_40078_2	9607	0	story40078	10															
10190	WorldNpc02613	story_40244_1	storymenu_40244_1	9607	0	story40244	10															
10190	WorldNpc02613	story_40244_2	storymenu_40244_2	9607	0	story40244	10															
10191	WorldNpc02613	story_40245_1	storymenu_40245_1	9607	0	story40245	10															
10191	WorldNpc02613	story_40245_2	storymenu_40245_2	9607	0	story40245	10															
10192	WorldNpc05808	story_40257_1	storymenu_40257_1	9607	0	story40257	21															
10192	WorldNpc05808	story_40257_2	storymenu_40257_2	9607	0	story40257	21															
10193	WorldNpc05808	story_40266_1	storymenu_40266_1	9607	0	story40266	21															
10193	WorldNpc05808	story_40266_2	storymenu_40266_2	9607	0	story40266	21															
10194	WorldNpc02605	story_40281_1	storymenu_40281_1	9607	0	story40281	10															
10194	WorldNpc02605	story_40281_2	storymenu_40281_2	9607	0	story40281	10															
10200	WorldNpc02604	story_40289_1	storymenu_40289_1	9607	0	storyinfo40289	10															
10200	WorldNpc02604	story_40289_2	storymenu_40289_2	9607	0	storyinfo40289	10															
10200	WorldNpc02604	story_40289_3	storymenu_40289_3	9607	0	storyinfo40289	10															
10200	WorldNpc02604	story_40289_4	storymenu_40289_4	9607	0	storyinfo40289	10															
10201	WorldNpc09956	story_40299_1	storymenu_40299_1	9607	0	storyinfo40299	17															
10201	WorldNpc09956	story_40299_2	storymenu_40299_2	9607	0	storyinfo40299	17															
10201	WorldNpc09956	story_40299_3	storymenu_40299_3	9607	0	storyinfo40299	17															
10202	WorldNpc09961	story_40309_1	storymenu_40309_1	9607	0	storyinfo40309	17															
10202	WorldNpc09961	story_40309_2	storymenu_40309_2	9607	0	storyinfo40309	17															
10202	WorldNpc09961	story_40309_3	storymenu_40309_3	9607	0	storyinfo40309	17															
10203	WorldNpc09955	story_40311_1	storymenu_40311_1	9607	0	storyinfo40311	17															
10203	WorldNpc09955	story_40311_2	storymenu_40311_2	9607	0	storyinfo40311	17															
