STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING																						
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID																						
7000	useitem_1w	1	1	useitem_46027	1	0	0	7	0																										
7001	useitem_2w	1	1	useitem_46039_1	1	0	0	7	0	useitem_3w																									
7002	useitem_3w	1	1	useitem_46039_2	1	1	5	7	0			WorldNpc03335																							
7003	useitem_4w	1	1	useitem_46046	1	1	5	7	0			WorldNpc03335																							
7004	useitem_5w	1	1	useitem_46060	1	1	5	7	0			WorldNpc03443																							
7005	useitem_6w	1	1	useitem_46102	1	0	0	24	1	taskitem_w115																									
7006	useitem_7w	1	1	useitem_46110	1	1	5	24	0			WorldNpc05050																							
7007	useitem_8w	1	1	useitem_46181	1	1	5	11	0			WorldNpc04579																							
7008																																			
7009																																			
7010																																			
7011																																			
7012																																			
7013																																			
7014																																			
7015																																			
7016																																			
7017																																			
7018																																			
7019																																			
7020																																			
7021																																			
7022																																			
7023																																			
7024																																			
7025																																			
7026																																			
7027																																			
7028																																			
7029																																			
7030																																			
7031																																			
7032																																			
7033																																			
7034																																			
7035																																			
7036																																			
7037																																			
7038																																			
7039																																			
7040																																			
7041																																			
7042																																			
7043																																			
7044																																			
7045																																			
7046																																			
7047																																			
7048																																			
7049																																			
7050																																			
7051																																			
7052																																			
7053																																			
7054																																			
7055																																			
7056																																			
7057																																			
7058																																			
7059																																			
7060																																			
7061																																			
7062																																			
7063																																			
7064																																			
7065																																			
7066																																			
7067																																			
7068																																			
7069																																			
7070																																			
7071																																			
7072																																			
7073																																			
7074																																			
7075																																			
7076																																			
7077																																			
7078																																			
7079																																			
7080																																			
7081																																			
7082																																			
7083																																			
7084																																			
7085																																			
7086																																			
7087																																			
7088																																			
7089																																			
7090																																			
7091																																			
7092																																			
7093																																			
7094																																			
7095																																			
7096																																			
7097																																			
7098																																			
7099																																			
7100																																			
7101																																			
7102																																			
7103																																			
7104																																			
7105																																			
7106																																			
7107																																			
7108																																			
7109																																			
7110																																			
7111																																			
7112																																			
7113																																			
7114																																			
7115																																			
7116																																			
7117																																			
7118																																			
7119																																			
7120																																			
7121																																			
7122																																			
7123																																			
7124																																			
7125																																			
7126																																			
7127																																			
7128																																			
7129																																			
7130																																			
7131																																			
7132																																			
7133																																			
7134																																			
7135																																			
7136																																			
7137																																			
7138																																			
7139																																			
7140																																			
7141																																			
7142																																			
7143																																			
7144																																			
7145																																			
7146																																			
7147																																			
7148																																			
7149																																			
7150																																			
7151																																			
7152																																			
7153																																			
7154																																			
7155																																			
7156																																			
7157																																			
7158																																			
7159																																			
7160																																			
7161																																			
7162																																			
7163																																			
7164																																			
7165																																			
7166																																			
7167																																			
7168																																			
7169																																			
7170																																			
7171																																			
7172																																			
7173																																			
7174																																			
7175																																			
7176																																			
7177																																			
7178																																			
7179																																			
7180																																			
7181																																			
7182																																			
7183																																			
7184																																			
7185																																			
7186																																			
7187																																			
7188																																			
7189																																			
7190																																			
7191																																			
7192																																			
7193																																			
7194																																			
7195																																			
7196																																			
7197																																			
7198																																			
7199																																			
7200	useitem_1yc	1	1	useitem_46296	1	1	5	13	0			WorldNpc08516																							
7201	useitem_2yc	1	1	useitem_46328	1	0	0	13	0																										
7202	useitem_3yc	1	1	useitem_46328	1	0	0	13	0																										
7203	useitem_4yc	1	1	useitem_46340	0	1	15	10	0			WorldNpc02700																							
7204	useitem_5yc	1	1	useitem_46367	1	1	10	10	0			WorldNpc02693																							
7205	useitem_6yc	1	1	useitem_46410	1	1	15	9	0			WorldNpc02576																							
7206	useitem_9yc	1	1	useitem_46443	1	1	0	22	0																										
7207	useitem_7yc	1	1	useitem_46457	1	1	15	22	0			WorldNpc06239																							
7208	useitem_8yc	1	1	useitem_46478	1	1	15	22	0			WorldNpc06230																							
7209																																			
7210																																			
