STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING																													
ID	ItemId	NpcId	RefreshMonster	IsNeedCreator	Count	Droprate	TrackInfo	SceneId	TaskID																													
7000	taskitem_w002	Gather00001W			1	1	collect46004	7																														
7001	taskitem_19j	Gather00002W			1	1	collect46038	7																														
7002	taskitem_w009	Gather00003W			1	1	collect46053	7																														
7003	taskitem_w113	Gather00004W			1	1	collect46065	7																														
7004	taskitem_w112	Gather00007W			1	1	collect46072	7																														
7005	taskitem_w111	Gather00005W			1	1	collect46076_1	7																														
7006	taskitem_w110	Gather00006W			1	1	collect46076_2	7																														
7007	taskitem_w116	monf070200			5	0.7	collect46101	24																														
7008	taskitem_w117	monf070400			6	0.7	collect46107	24																														
7009	taskitem_w119	bossf070200			1	1	collect46136	24																														
7010	taskitem_w122	Gather00008W			1	1	collect46180	11																														
7011	taskitem_w124	monf020700			5	0.7	collect46204	19																														
7012	taskitem_w125	Gather00009W			3	1	collect46206	19																														
7013	taskitem_w126	monf020600			5	0.7	collect46211	19																														
7014	taskitem_w127	Gather00010W			3	1	collect46212	19																														
7015																																						
7016																																						
7017																																						
7018																																						
7019																																						
7020																																						
7021																																						
7022																																						
7023																																						
7024																																						
7025																																						
7026																																						
7027																																						
7028																																						
7029																																						
7030																																						
7031																																						
7032																																						
7033																																						
7034																																						
7035																																						
7036																																						
7037																																						
7038																																						
7039																																						
7040																																						
7041																																						
7042																																						
7043																																						
7044																																						
7045																																						
7046																																						
7047																																						
7048																																						
7049																																						
7050																																						
7051																																						
7052																																						
7053																																						
7054																																						
7055																																						
7056																																						
7057																																						
7058																																						
7059																																						
7060																																						
7061																																						
7062																																						
7063																																						
7064																																						
7065																																						
7066																																						
7067																																						
7068																																						
7069																																						
7070																																						
7071																																						
7072																																						
7073																																						
7074																																						
7075																																						
7076																																						
7077																																						
7078																																						
7079																																						
7080																																						
7081																																						
7082																																						
7083																																						
7084																																						
7085																																						
7086																																						
7087																																						
7088																																						
7089																																						
7090																																						
7091																																						
7092																																						
7093																																						
7094																																						
7095																																						
7096																																						
7097																																						
7098																																						
7099																																						
7100																																						
7101																																						
7102																																						
7103																																						
7104																																						
7105																																						
7106																																						
7107																																						
7108																																						
7109																																						
7110																																						
7111																																						
7112																																						
7113																																						
7114																																						
7115																																						
7116																																						
7117																																						
7118																																						
7119																																						
7120																																						
7121																																						
7122																																						
7123																																						
7124																																						
7125																																						
7126																																						
7127																																						
7128																																						
7129																																						
7130																																						
7131																																						
7132																																						
7133																																						
7134																																						
7135																																						
7136																																						
7137																																						
7138																																						
7139																																						
7140																																						
7141																																						
7142																																						
7143																																						
7144																																						
7145																																						
7146																																						
7147																																						
7148																																						
7149																																						
7150																																						
7151																																						
7152																																						
7153																																						
7154																																						
7155																																						
7156																																						
7157																																						
7158																																						
7159																																						
7160																																						
7161																																						
7162																																						
7163																																						
7164																																						
7165																																						
7166																																						
7167																																						
7168																																						
7169																																						
7170																																						
7171																																						
7172																																						
7173																																						
7174																																						
7175																																						
