STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING												
ID	MonsterID	RSceneID	RPosX	RPosY	RPosZ	RLifeTime	TaskID												
3001	monrm082900	12	812.037	73.314	436.459	300													
3002	monrm083000	12	902.783	136.314	298.093	300													
3003	monrm083100	12	331.84	-50.662	610.62	300													
3004	monrm083200	12	268.515	-46.341	617.429	300													
3005	monrm083300	12	752.062	73.168	363.792	600													
3006	monrm081500	12	-195.446	37.192	519.266	600													
3007	monrm081500	12	-191.909	37.192	521.109	600													
3008	monrm081500	12	-188.745	37.192	524.556	600													
3009	monrm081500	12	-188.139	37.192	529.812	600													
3010	monrm081000	12	761.088	73.028	319.457	600													
3011	monrm081200	12	749.184	62.144	514.561	600													
3012	monrm081100	12	825.165	65.549	499.779	600													
3013	monrm081300	12	268.515	-46.341	617.429	600													
3014	monrm081400	12	277.446	-46.341	611.137	600													
3015	monrm081400	12	266.527	-46.341	609.545	600													
3016	monrm080500	12	743	62.144	531	600													
3017	monrm080600	12	628.5	55.9	265.8	600													
3018	monrm080800	12	808.381	19.29	729.672	600													
3019	monrm080900	12	757.667	-32.493	917.953	600													
3020	monrm080400	12	749	73	407	600													
3021	monrm080200	12	879	73	408	600													
3022	monrm080400	12	749	73	407	600													
3023	monrf030100	20	772	-10	548	600													
3024	monrf030100	20	772	-10	548	600													
3025	monrc040100	16	936	-16	654	600													
3026	monrc040200	16	958	-25	805	600													
3027	monrc040300	16	879	-21	750	600													
3028	monrc040400	16	929	-24	654	600													
3029	monrc040500	16	1045	1.6	476	600													
3030	monrc040800	16	1031	4	271	600													
3031	monrm080100	12	403	-43	632	600													
3032	monrm080100	12	403	-43	632	600													
3033	monrv020100	2	102	-5	120	600													
3034	monrm081600	12	759.028	62.298	509.039	600													
3035	monrm081600	12	750.318	64.413	448.612	600													
3036	monrm081600	12	826.717	63.753	479.422	600													
3039	monrm020100	14	113	53	198	600													
3040	monrc030900	14	524.52	23.13	614.68	600													
3041	monrc010500	14	1102.151	23.782	197.629	600													
3050	monrc020100	13	329	-5	435	600													
3051	monrm080300	12	582	21	305	600													
3052	monrc020200	13	359	3	635	600													
3053	monrc040600	14	1038	-16	694	600													
3054	monrc040700	14	963	-22	732	600													
3055	monrf030200	20	416	23	609	600													
3056	monrc020300	13	193	2	473	600													
3057	monrf050100	22	1443.82	6.26	1847.48	600													
3058	monrf050200	22	1179	124.84	794	600													
3059	monrf050200	22	1399	88.87	810	600													
3060	monrv020200	2	237.322	25.844	564.613	600													
3061	monrv020300	2	430	7.51	807	600													
3062	monrv020500	2	233	25.04	779	600													
3063	monrf070100	24	668.1	23.54	50.57	600													
3065	monrf070100	24	670.03	23.5	47.31	600													
3066	monrf070100	24	664	23.89	50.26	600													
3067	monrf070100	24	665.42	23.87	48.03	600													
3068	monrf070100	24	672.17	23.07	49.56	600													
3069	Monster00710	24	389.8	10.92	29.844	600													
3070	monrc010100	14	792.72	83.38	122.33	600													
3071	monrc010100	14	761.8	83.38	119.05	600													
3072	monrc010100	14	764.83	83.38	113.8	600													
3073	monrc010100	14	769.22	83.38	112.1	600													
3074	monrc010100	14	772.02	83.38	119.95	600													
3075	monrc010100	14	768.22	83.38	118.43	600													
3076	monrf050200	14	289.145	4.945	648.917	600													
3077	monrm050100	9	730	30	749	60													
3078	monrm050100	9	731	30	750	60													
3079	monrm050200	9	411	63	791	600													
3080	monrm050600	9	816	32	842	600													
3081	monrm050700	9	680.78	10.85	578.02	600													
3082	monrm050700	9	399	53	734	2400													
3083	monrm050300	9	490	48	807	400													
3084	monrm050400	9	872	34	867	240													
3085	monrf040300	21	584	57.65	887	600													
3086	monrf040400	21	555	28.44	925	600													
3087	monrf040100	21	729	59	1017	600													
3088	monrf040200	21	731	59	1022	600													
3089	monrv021700	2	169	0	71	600													
3090	monrv021700	2	166	0	73	600													
3091	monrv021700	2	164	0	69	600													
3092	monrv021700	2	165	0	65	600													
3093																			
3094																			
3095																			
3096																			
3097																			
3098																			
3099																			
3100																			
3101																			
3102																			
3103																			
3104																			
3105																			
3106																			
3107																			
3108																			
3109																			
3110																			
3111																			
3112																			
3113																			
3114																			
3115																			
3116																			
3117																			
3118																			
3119																			
3120																			
3121																			
3122																			
3123																			
3124																			
3125																			
3126																			
3127																			
3128																			
3129																			
3130																			
3131																			
3132																			
3133																			
3134																			
3135																			
3136																			
3137																			
3138																			
3139																			
3140																			
3141																			
3142																			
3143																			
3144																			
3145																			
3146																			
3147																			
3148																			
3149																			
3150																			
3151																			
3152																			
