STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING												
ID	MonsterID	RSceneID	RPosX	RPosY	RPosZ	RLifeTime	TaskID												
9000																			
9001																			
9002																			
9003																			
9004																			
9005																			
9006																			
9007																			
9008																			
9009																			
9010																			
9011																			
9012																			
9013																			
9014																			
9015																			
9016																			
9017																			
9018																			
9019																			
9020																			
9021																			
9022																			
9023																			
9024																			
9025																			
9026																			
9027																			
9028																			
9029																			
9030																			
9031																			
9200	monrc021400	13	446.63	-143.76	1092.59	300													
9201	monrc021400	13	440.91	-143.76	1099.29	300													
9202	monrc021400	13	450.22	-144.21	1097.83	300													
9203	monrc021400	13	463.32	-145.97	1080.94	300													
9204	monrc021400	13	454.97	-142.49	1075.3	300													
9205	monrc023001	13	355.4	-148.67	1232.3	300													
9206	monrc023001	13	352.84	-152.11	1230.46	300													
9207	monrc023001	13	353.46	-157.11	1240.55	300													
9208	monrc023001	13	358.66	151.18	1222.22	300													
9209	monrc023001	13	356.53	150.18	1210.15	300													
9210	monrc023001	13	354.08	151.74	1218.15	300													
9211	monrc023002	13	352.21	151.18	1222	300													
9212	monrc023002	13	358.66	151.18	1222.22	300													
9213	monrc023002	13	356.53	150.18	1210.15	300													
9214	monrc023002	13	354.08	151.74	1218.15	300													
9215	monrc023002	13	352.21	151.18	1222	300													
9216	monrm063700	10	398.11	6	856.87	300													
9217	monrm063700	10	399	8.4	850.27	300													
9218	monrm063700	10	398	8.4	850.07	300													
9219	monrm063800	10	471.16	96.75	416.26	300													
9220	monrm063800	10	474.82	97.5	415.38	300													
9221	monrm063800	10	476.2	97.5	415.58	300													
9222	monrm063800	10	475.15	97.3	416.5	300													
9223	monrm063800	10	471	97	411.4	300													
9224	monrm050003	9	800	33.71	897.78	300													
9225	monrm050003	9	800.82	33	896.1	300													
9226	monrm050003	9	800.54	33	896.1	300													
9227	monrm050003	9	847.48	35.97	863.63	300													
9228	monrm050003	9	846	35.1	862.53	300													
9229	monrm050003	9	846.55	35.97	862.53	300													
9230	monrm050002	9	630.14	29.66	712.55	300													
9231	monrm050002	9	630.93	29.55	710.88	300													
9232	monrm050002	9	630.33	29.25	710.38	300													
9233	monrf052001	22	1369.23	81.29	1056.24	300													
9234	monrf052001	22	1374.61	81.65	1052.38	300													
9235	monrf052001	22	1367.69	80.87	1051.49	300													
9236	monrf052001	22	1366.08	80.89	1058.63	300													
9237	monrf052001	22	1368.55	80.9	1054.66	300													
9238	monrf052001	22	1349.21	79.85	1200.83	300													
9239	monrf052001	22	1353.29	79.42	1202.66	300													
9240	monrf052001	22	1353.79	79.88	1203.15	300													
9241	monrf052002	22	1205.61	79.34	1158.8	300													
9242	monrf052002	22	1205.52	79.32	1159.21	300													
9243	monrf052002	22	1205.33	79.38	1158.7	300													
9244		22																	
9245		22																	
9246		22																	
9247		22																	
9248		22																	
9249		22																	
