STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING												
ID	MonsterID	RSceneID	RPosX	RPosY	RPosZ	RLifeTime	TaskID												
7001	monrm040001	8	704.653	10.477	341.84	300													
7002	monrm040001	8	706.643	10.352	342.55	300													
7003	monrm040001	8	709.911	10.56	342.79	300													
7008	monrm040007	8	911.075	17.982	264.93	300													
7009	monrm040007	8	905.444	18.364	266.53	300													
7010	monrm040007	8	899.523	18.57	270.49	300													
7011	monrm040007	8	900.446	19.184	266.22	300													
7012	monrm040007	8	899.426	19.254	266.7	300													
7013	monrm040007	8	902.301	19.441	263.89	300													
7014	monrm040004	8	913.29	12.402	459.558	900													
7015	monrm040005	8	707.764	24.452	635.515	900													
7016	monrm040006	8	704.58	26.367	639.401	900													
7017	monrm040006	8	707.992	25.473	638.213	900													
7018	monrm040006	8	709.066	27.582	642.691	900													
7019	monrm040008	8	179.8	128.09	-30.618	300													
7020	monrm040008	8	180.707	128.093	-32.771	300													
7021	monrm040008	8	179.729	128.093	-32.491	300													
7022	monrm040009	8	460.009	47.707	52.574	300													
7023	monrm040009	8	459.599	47.882	50.967	300													
7024	monrm040009	8	459.093	47.644	53.091	300													
7025	monrm040010	8	586.21	9.267	233.961	300													
7026	monrm040010	8	586.15	9.283	223.671	300													
7027	monrm040010	8	589.709	9.709	220.435	300													
7028	monrm040009	8	499.983	13.856	373.105	300													
7029	monrm040009	8	502.237	13.883	373.318	300													
7030	monrm040009	8	500.501	13.883	374.662	300													
7031	monrm040009	8	501.374	13.859	370.498	300													
7032	monrm040011	8	529.439	10.775	307.174	300													
7033	monrm040011	8	528.338	10.437	307.552	300													
7034	monrm040011	8	528.437	10.701	308.839	300													
7035	monrm040012	8	617.463	40.563	-112.316	300													
7036	monrm040013	8	490.161	8.594	403.321	300													
7037	monrm040013	8	490.401	8.683	404.509	300													
7038	monrm040013	8	491.172	8.751	404.354	300													
7039	monrm040014	8	255.925	81.209	92.598	300													
7040	monrm040014	8	256.513	81.209	93.165	300													
7041	monrm040014	8	255.782	81.209	94.827	300													
7042	monrm040021	17	543.888	24.221	641.391	300													
7043	monrm040021	17	542.525	24.221	640.731	300													
7044	monrm040021	17	541.939	24.221	643.567	300													
7047	monrm040023	17	1255.576	83.987	680.531	300													
7048	monrm040023	17	1255.799	83.987	678.836	300													
7049	monrm040023	17	1258.804	83.987	680.313	300													
7050	monrm040023	17	1257.864	83.987	682.376	300													
7051	monrm040023	17	1259.493	83.987	681.941	300													
7052	monrm040024	17	1044.219	24.497	902.239	300													
7053	monrm040024	17	1041.464	24.853	900.241	300													
7054	monrm040024	17	1042.956	24.606	900.387	300													
7055	monrm040025	8	245.745	91.661	45.603	300													
7056	monrm040025	8	246.227	91.649	47.883	300													
7057	monrm040025	8	243.698	91.696	46.369	300													
