STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING												
ID	MonsterID	RSceneID	RPosX	RPosY	RPosZ	RLifeTime	TaskID												
5001	monrm052700	9	1082.437	78.88	23.627	300													
5002	monrm052200	9	925.103	32.091	321.896	300													
5003	monrm052300	9	1059.779	45.62	431.175	300													
5004	monrm052400	9	1054.7	45.61	428.91	300													
5005	monrm052400	9	1054.82	45.61	432.2	300													
5006	monrm052400	9	1057.82	45.61	425.14	300													
5007	monrm052200	9	925.103	32.091	321.896	300													
5008	monrm052400	9	918.22	29.48	323.23	300													
5009	monrm052400	9	915.03	28.48	320.86	300													
5010	monrm052400	9	916.09	28.79	318.26	300													
5011	monrm053500	9	1099.557	46.45	347.756	300													
5012	monrm052500	9	970.991	36.278	329.634	300													
5013	monrm052400	9	965.54	36.19	334.11	300													
5014	monrm052400	9	975.63	36.28	339.04	300													
5015	monrm052400	9	970.43	36.19	334.07	300													
5016	monrm052600	9	936	42.2	292.5	300													
5017	monrm053500	9	1099.557	46.45	347.767	300													
5018	monrm052400	9	1100.557	46.45	348.767	300													
5019	monrm052400	9	1098.557	46.45	346.767	300													
5020	monrm052400	9	1097.557	46.45	345.767	300													
5021	monrm052900	9	1172.165	100.542	-50.389	300													
5022	monrm053000	9	899.17	48.713	-80.384	300													
5023	monrm052800	9	1026	69	-188	300													
5024	monrm053100	9	1094.393	79.026	12.093	300													
5025	monrm053200	9	941.8	68.315	-111.7	300													
5026	monrm053300	9	961.088	61.701	45.916	300													
5027	monrm053100	9	1094.393	79.026	12.093	300													
5028	monrm053400	9	1040.5	79.44	-123.123	300													
5029	monrm053600	9	1011	69	-182	1800													
5030	monrm053700	9	545	-6	254	1800													
5031	monrm053800	9	853	31	428	1800													
5032	monrm054900	9	815	35	508	1800													
5033	monrm055000	9	817	35	514	1800													
5034	monrm055100	9	810	35	506	1800													
5035	monrm055200	9	1040	80	-123	1800													
5036	monrm054300	9	896	49	-80	1800													
5037	monrm054300	9	892	49	-81	1800													
5038	monrm054300	9	894	49	-85	1800													
5040	monrm054200	9	453	-16	479	1800													
5041	monrm053900	9	879	49	-86	1800													
